routeId,routeName,side
5,Parvat,Surat
6,Ghod Dod,Surat
7,Udhana,Surat
8,Varachha,Surat
9,Adajan,Surat
11,Navsari,South
12,Vapi,South
13,Vansda,South
14,Bardoli,South
15,Vyara,South
17,Bharuch,North
18,IGT / CROSS,Direct
19,Kamrej,North
20,No Route,Surat
21,Chikhli,South
22,Transport,Direct
24,Olpad,Surat
