skuCodeRaw,rawDescription,lineItemCount,obdCount
IN61196872,WN Wanda Basecoat SB 3968 1L,4,4
IN61197072,WN Wanda Basecoat SB 3970 1L,4,4
IN70250271,DN SAT FIN GENRIC TINT 0790 BASE 4LT,4,4
IN70250681,DN SAT FIN GENRIC TINT 0894 BASE 20LT,4,4
IN70869281,PS Interior A700 GENTINT 92Base 20L,4,4
IN83109023,WS Prima E900 90 bas 1 Ltr Smplr,4,4
IN83109223,WS Prima E900 92 bas 1 Ltr Smplr,4,4
5379504,WN Wanda 2K Topcoat 9432 3.7L,3,3
5379506,WN Wanda 2K Topcoat 9452 1L,3,3
5751240,WN WAN 2:1 SMART HV CLEAR AS 1L,3,3
5751241,WN WAN 2:1 SMART HV CLEAR AS 5L,3,3
5765908,PS Creation Sandtex Ultrafine 30kg,3,3
5948183,DN WS PF 15yr 93 Base 20L,3,3
5953894,Promise SmartC Distemper Gen 20 Kg,3,3
5990193,WS Prima E900 94 base 0.9L,3,3
6391464,Water Dispensors,3,3
IN11029263,AS Auto Star Neutral Base 400ML,3,1
IN19900072,AS Auto Star Aluminium 1L,3,2
IN19904372,AS Auto Star Milky White 1L,3,3
IN23600081,DN IAE PROJ WHITE 20L,3,1
IN32301172,WN Wanda Plastic Primer 1L,3,3
IN36810081,PS WS E1000 Brilliant White 20L,3,3
IN45109281,DN WS PROJ INTERMEDIATE BASE 18LT,3,1
IN61100772,WN Wanda Basecoat SB 3007 1L,3,2
IN61127672,WN Wanda Basecoat SB 3276 1L,3,3
IN61140072,WN Wanda Basecoat SB 3400 1L,3,3
IN61145772,WN Wanda Basecoat SB 3457 1L,3,3
IN61196672,WN Wanda Basecoat SB 3966 1L,3,3
IN70010181,DN VT PG GEN TINT 4090 BASE 20L,3,3
IN70270382,DN GLOSS GENRIC TINT 1092 BASE 10LT,3,3
IN70909081,DN VT PLATINUM GLO GEN TINT 90 BASE 20L,3,3
5379496,WN Wanda 2K Topcoat 9330 1L,2,2
5379503,WN Wanda 2K Topcoat 9431 1L,2,1
5553506,WN WANDA 2:1 STD HARDENER 500ml,2,2
5575543,WN Wanda Basecoat SB 3681 1L,2,2
5585871,Promise SmartChoice Int Tint Wht Bas 10L,2,2
5725271,DN Promise Sheen Interior Generic Tint W,2,2
5734569,DN POLYPUTTY 40KG CIC,2,2
5801998,WAN BCOAT SB 3655 AS 1L,2,2
5811485,WS PU Elastomeric Accent base(94) 20Ltr,2,2
5818102,WS PU Elastomeric Wht base(90) 20Ltr,2,1
5818162,DN WS Powerflexx 94 Base GenTint 18L,2,2
5844390,WS Prima E900 Int.Base(92) 20L,2,2
5852866,DN WS Rainproof Gen Tint 92 Base 18L,2,2
5853998,DPP-SuperCover Ultra Gentint 90base 20L,2,1
5955804,DN WS Max Gen 10yr 90 Base 4L,2,2
5955805,DN WS Max Gen 10yr 90 Base 10L,2,2
5955822,DN WS Max Gen 10yr 95 Base 20L,2,2
5967910,DN WS  Protect Hi-sheen Gen92 10L,2,2
5984145,DN SAT FIN 93 GEN BASE 3.7L,2,2
5984151,DN DULUX GLOSS 93 GEN BASE 18.5L,2,2
5984278,DN PROMISE EXTERIOR 93 Gen BASE 18.5L,2,2
6047818,FAN,2,2
6305265,Shaker 20 ltr PHOENIX,2,2
6427647,FFM X-Smart XL-32C,2,2
6473320,Casio Vintage Rose Gold Watch,2,2
IN11006363,DO Duco Base 400ML,2,2
IN11006379,DO DUCO BASE 2.5L,2,1
IN19900372,AS Auto Star P O Red 1L,2,2
IN36819223,PS WS E1000 Intermediate Base 0.9L,2,2
IN44709423,PS WS UltraClean Accent Base 0.9L,2,2
IN46259023,PS WS Elastomeric White Base 1L,2,2
IN46259423,PS WS Elastomeric Accent Base 0.9L,2,2
IN51001272,WAN 1K PRIM WHITE IN 1L,2,1
IN51001472,WAN 1K PRIM GREY IN 1L,2,1
IN60000676,DO Duco Thinner 5L,2,2
IN60006481,WAN EASY PU THIN IN 20L,2,1
IN61100671,WN Wanda Basecoat SB 3006 3.7L,2,2
IN61110071,WN Wanda Basecoat SB 3100 3.7L,2,2
IN61110172,WN Wanda Basecoat SB 3001 1L,2,2
IN61110672,WN Wanda Basecoat SB 3106 1L,2,2
IN61143472,WN Wanda Basecoat SB 3434 1L,2,2
IN61154572,WN Wanda Basecoat SB 3545 1L,2,2
IN61156572,WN Wanda Basecoat SB 3565 1L,2,2
IN61165672,WN Wanda Basecoat SB 3656 1L,2,2
IN61172372,WN Wanda Basecoat SB 3723 1L,2,2
