clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-47,2026-07-14,12,9108265526;9108250561;9108012460;9108253142;9108022938;9108022935;9108260122;9108010225;9108010227;9107928580;9108236850;9108236851,18,37,51.4,4,4,13,69.2,38,Adajan;Ghod Dod;Kamrej;Udhana;Varachha,(none);1;2;3;4,(none);2026-07-14;2026-07-15
W2-48,2026-07-09,11,9108160360;9108167726;9108193803;9108193801;9108152159;9108177515;9108152558;9108152554;9108193812;9108109038;9108186910,11,22,50.0,4,5,8,37.5,23,(unknown);Adajan;Bardoli;Ghod Dod;Navsari;Vapi;Varachha,1;2;3;4,2026-07-09;2026-07-10;2026-07-12
W2-49,2026-07-02,11,9108025532;9108025540;9108025539;9108025538;9108025537;9108025536;9108025535;9108025534;9108025533;9108025531;9108025530,2,13,84.6,4,2,6,66.7,13,Adajan;Chikhli;Ghod Dod;Navsari;Olpad;Vansda,4,2026-07-03
W2-50,2026-06-27,11,9107870898;9107893681;9107906194;9107906193;9107916263;9107909189;9107909190;9107952625;9107897676;9107964117;9107932955,18,28,35.7,4,5,8,37.5,30,Adajan;Bardoli;Ghod Dod;Kamrej;Navsari;Vapi;Varachha,(none),(none)
W2-51,2026-06-27,11,9107870896;9107958105;9107893682;9107893680;9107893683;9107945029;9107943038;9107943041;9106608393;9107920955;9107964116,22,36,38.9,4,11,15,26.7,36,Adajan;Ghod Dod;Navsari;Udhana;Vapi,(none),(none)
W2-52,2026-07-29,11,9108369290;9108580910;9108577925;9108585435;9108369292;9108542140;9108545640;9108545639;9108533973;9108477867;9108438293,44,66,33.3,4,37,48,22.9,71,Adajan;Ghod Dod;No Route;Varachha,(none);1;2,(none);2026-07-29
W2-53,2026-07-02,10,9108005664;9108005666;9107984886;9107984882;9108053501;9108027638;9108029033;9108027639;9108030545;9108047511,26,40,35.0,4,20,23,13.0,41,(unknown);Adajan;Ghod Dod;Udhana,(none);4,(none);2026-07-03
W2-54,2026-07-11,10,9108169590;9108175581;9108175580;9108175579;9108175577;9108175588;9108175583;9108171694;9108171695;9108171693,1,10,90.0,4,1,4,75.0,10,Adajan,(none),(none)
W2-55,2026-06-19,10,9107630145;9107721260;9107721263;9107757365;9107764241;9107711658;9107759815;9107759812;9107759820;9107707779,64,76,15.8,4,55,60,8.3,80,Adajan;Bardoli;Chikhli;Ghod Dod;Vapi,(none),(none)
W2-56,2026-08-08,9,9108776106;9108776105;9108786430;9108786429;9108776103;9108762762;9108776104;9108762760;9108762761,1,9,88.9,4,1,4,75.0,9,Adajan;Kamrej;Varachha,(none);1;3;4,(none);2026-08-08;2026-08-10
