clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-149,2026-07-15,4,9108318607;9108279881;9108150187;9108248475,9,12,25.0,4,9,12,25.0,12,Adajan;Ghod Dod,(none);1;3,(none);2026-07-15;2026-07-16
W2-150,2026-07-27,4,9108247728;9108501166;9108468053;9108522621,5,8,37.5,4,5,8,37.5,9,Adajan;Bardoli;Chikhli,1;4,2026-07-27
W2-151,2026-07-27,4,9108512050;9108531806;9108547001;9108360477,5,8,37.5,4,5,8,37.5,8,Adajan;Ghod Dod;Varachha,(none);2,(none);2026-07-27
W2-152,2026-07-24,4,9108176293;9108377780;9108490131;9108504603,1,4,75.0,4,1,4,75.0,4,Varachha,1;2,2026-07-24;2026-07-25
W2-153,2026-07-11,4,9108175587;9108171479;9108219369;9108213152,8,11,27.3,4,8,11,27.3,11,Ghod Dod,1;2;3,2026-07-11;2026-07-12
W2-154,2026-07-11,4,9108238501;9108241714;9108210123;9107859998,1,4,75.0,4,1,4,75.0,4,Adajan;Ghod Dod,1;3,2026-07-12
W2-155,2026-07-11,4,9108101799;9108248400;9108101798;9108242602,1,4,75.0,4,1,4,75.0,4,Adajan;Bharuch,(none);3,(none);2026-07-12
W2-156,2026-07-29,4,9108547969;9108516264;9108362899;9108438294,5,8,37.5,4,5,8,37.5,8,Adajan;Ghod Dod;Varachha,1;2;3,2026-07-29
W2-157,2026-08-07,4,9108731224;9108755788;9108738016;9108738014,11,18,38.9,4,11,18,38.9,18,Adajan;Varachha,(none);2;3,(none);2026-08-07
W2-158,2026-08-07,4,9108708060;9108738019;9108748632;9108773723,3,6,50.0,4,3,6,50.0,6,Adajan;Bardoli;Bharuch;Navsari,3;4,2026-08-07;2026-08-08
W2-159,2026-08-05,4,9108671576;9108636398;9108693525;9108730415,5,8,37.5,4,5,8,37.5,9,Adajan;Ghod Dod;Udhana,(none),(none)
W2-160,2026-07-31,4,9108626216;9108626217;9108626215;9108637010,3,7,57.1,4,3,7,57.1,7,Vapi,(none);4,(none);2026-08-01
W2-161,2026-07-31,4,9108613440;9108622850;9108598983;9108563758,5,9,44.4,4,5,9,44.4,9,Navsari;Vapi,4,2026-07-31
W2-162,2026-06-17,4,9107728716;9107730408;9107623095;9107657675,8,12,33.3,4,8,12,33.3,13,Adajan;Bharuch;Vapi;Varachha,(none),(none)
W2-163,2026-08-01,4,9108414254;9108665704;9108550590;9108550589,4,7,42.9,4,4,7,42.9,7,Adajan;Bardoli;Navsari,(none);2;4,(none);2026-08-01
W2-164,2026-08-01,4,9108586583;9108575179;9108664002;9108571290,8,11,27.3,4,8,11,27.3,11,Adajan;Ghod Dod;Navsari,1;2;3;4,2026-08-01;2026-08-03
W2-165,2026-06-23,3,9107833504;9106634245;9107709389,1,3,66.7,3,1,3,66.7,3,Chikhli;Ghod Dod,(none),(none)
W2-166,2026-06-23,3,9107833505;9107642496;9106634246,1,3,66.7,3,1,3,66.7,3,Bharuch;Chikhli;Vapi,(none),(none)
W2-167,2026-06-23,3,9106582884;9107848101;9107244286,8,10,20.0,3,8,10,20.0,10,Adajan;Udhana;Varachha,(none),(none)
W2-168,2026-06-29,3,9107918551;9107946934;9107962928,1,3,66.7,3,1,3,66.7,4,Adajan;Ghod Dod;Varachha,(none);4,(none);2026-07-03
W2-169,2026-08-06,3,9108735709;9108735710;9108700838,1,3,66.7,3,1,3,66.7,3,No Route;Vapi,3;4,2026-08-06
W2-170,2026-06-24,3,9107743930;9107880906;9107858018,3,5,40.0,3,3,5,40.0,5,Adajan;Udhana,(none),(none)
W2-171,2026-06-24,3,9107743932;9107862732;9107884724,6,8,25.0,3,6,8,25.0,8,Adajan;Ghod Dod,(none),(none)
W2-172,2026-06-24,3,9107822996;9107875114;9107867243,7,9,22.2,3,7,9,22.2,9,Adajan;Ghod Dod;Udhana,(none),(none)
W2-173,2026-06-24,3,9107807871;9107862113;9107853928,2,4,50.0,3,2,4,50.0,5,Bharuch;Varachha,(none),(none)
W2-174,2026-07-25,3,9108474280;9108505623;9108277099,16,19,15.8,3,16,19,15.8,22,(unknown);Navsari;Vansda,(none);4,(none);2026-07-25;2026-07-27
W2-175,2026-07-25,3,9108242795;9108234197;9108234194,6,9,33.3,3,6,9,33.3,12,Bharuch;Ghod Dod;Navsari,1;4,2026-07-25;2026-07-27
W2-176,2026-07-09,3,9108193805;9108109035;9108143183,1,3,66.7,3,1,3,66.7,3,Adajan;Kamrej;Vansda,2;4,2026-07-09
W2-177,2026-08-03,3,9108645392;9108645391;9108645390,2,4,50.0,3,2,4,50.0,4,Adajan;Varachha,(none);1,(none);2026-08-05
W2-178,2026-06-30,3,9107884070;9107958870;9107898752,14,16,12.5,3,14,16,12.5,16,Adajan;Vansda;Vapi,(none),(none)
W2-179,2026-06-30,3,9108008408;9107899487;9108006726,1,3,66.7,3,1,3,66.7,5,(unknown);Adajan,(none);4,(none);2026-07-03
W2-180,2026-06-30,3,9107981932;9107974155;9107974154,1,3,66.7,3,1,3,66.7,3,Navsari,(none),(none)
W2-181,2026-08-08,3,9108669196;9108786219;9108628590,2,4,50.0,3,2,4,50.0,4,Adajan;Ghod Dod,(none);2;3,(none);2026-08-08
W2-182,2026-08-08,3,9108789909;9108669195;9108740432,3,5,40.0,3,3,5,40.0,5,Adajan;Ghod Dod,(none);2,(none);2026-08-10
W2-183,2026-08-08,3,9108773235;9108773234;9108773236,1,3,66.7,3,1,3,66.7,3,No Route,(none);3,(none);2026-08-08
W2-184,2026-08-08,3,9108786218;9108647685;9108750845,4,6,33.3,3,4,6,33.3,6,Adajan;Vapi,1;2;4,2026-08-08;2026-08-10
W2-185,2026-08-08,3,9108759539;9108731585;9108756151,11,22,50.0,3,11,22,50.0,24,Adajan;Ghod Dod,1;3,2026-08-08;2026-08-10
W2-186,2026-08-08,3,9108759550;9108760055;9108706643,1,3,66.7,3,1,3,66.7,3,Adajan;Varachha,1;3,2026-08-08;2026-08-10
W2-187,2026-08-13,3,9108839350;9108839351;9108849357,10,20,50.0,3,10,20,50.0,23,Adajan,(none);1,(none);2026-08-14
W2-188,2026-08-10,3,9108509780;9108785838;9108785836,1,3,66.7,3,1,3,66.7,3,Ghod Dod;Varachha,(none),(none)
W2-189,2026-08-10,3,9108705396;9108705395;9108773181,1,3,66.7,3,1,3,66.7,3,Adajan;Ghod Dod;Varachha,(none),(none)
W2-190,2026-08-10,3,9108509776;9108793634;9108627099,3,7,57.1,3,3,7,57.1,7,Adajan,3,2026-08-10
W2-191,2026-07-20,3,9108356321;9108356320;9108356318,1,3,66.7,3,1,3,66.7,3,Adajan;Vapi;Varachha,(none),(none)
W2-192,2026-07-20,3,9108342127;9108232181;9108322209,5,8,37.5,3,5,8,37.5,8,Bharuch;Ghod Dod,1;3;4,2026-07-20
W2-193,2026-07-22,3,9108367796;9108437818;9108450403,14,16,12.5,3,14,16,12.5,17,Ghod Dod;Parvat;Udhana,2;3,2026-07-22;2026-07-24
W2-194,2026-07-22,3,9108389125;9108441322;9108385744,18,20,10.0,3,18,20,10.0,20,Adajan;Ghod Dod;Varachha,1;2;3,2026-07-22
W2-195,2026-07-30,3,9108601790;9108622109;9108546585,1,3,66.7,3,1,3,66.7,3,Adajan;Bharuch;IGT / CROSS,(none),(none)
W2-196,2026-07-30,3,9108402387;9108411675;9108587551,9,11,18.2,3,9,11,18.2,11,Ghod Dod,1;3,2026-07-30;2026-07-31
W2-197,2026-07-10,3,9108222010;9108159897;9108159898,4,12,66.7,3,4,12,66.7,12,(unknown);Ghod Dod,1;4,2026-07-10
W2-198,2026-07-21,3,9108390318;9108363154;9108337541,5,8,37.5,3,5,8,37.5,8,Adajan;Navsari,1;4,2026-07-21;2026-07-22
W2-199,2026-07-21,3,9108322243;9108359690;9108398250,7,9,22.2,3,7,9,22.2,9,Adajan;Navsari,2;3;4,2026-07-21;2026-07-22
W2-200,2026-07-17,3,9108319730;9108321059;9108319727,1,3,66.7,3,1,3,66.7,3,Adajan,(none);2,(none);2026-07-17
W2-201,2026-07-17,3,9108344394;9108308888;9108353804,6,14,57.1,3,6,14,57.1,14,Adajan,(none);3,(none);2026-07-17
W2-202,2026-07-17,3,9108303764;9108344214;9108306160,3,5,40.0,3,3,5,40.0,5,Bharuch;Ghod Dod,3;4,2026-07-17
W2-203,2026-06-20,3,9107773833;9107483567;9107541875,2,4,50.0,3,2,4,50.0,5,Navsari,(none),(none)
W2-204,2026-06-20,3,9107500876;9107711976;9107483566,1,3,66.7,3,1,3,66.7,3,(unknown);Ghod Dod;Varachha,(none),(none)
W2-205,2026-08-12,3,9108841325;9108841932;9108813546,1,3,66.7,3,1,3,66.7,6,Udhana,1,2026-08-12
W2-206,2026-08-14,3,9108901015;9108827683;9108918408,1,3,66.7,3,1,3,66.7,3,Adajan;Bharuch,(none);2,(none);2026-08-14
W2-207,2026-07-01,3,9107927687;9107970251;9107992354,1,3,66.7,3,1,3,66.7,3,Adajan;Varachha,(none);4,(none);2026-07-03
W2-208,2026-06-22,3,9107512364;9107512365;9107512366,1,3,66.7,3,1,3,66.7,3,Ghod Dod,(none),(none)
W2-209,2026-06-22,3,9107760267;9107741161;9107817129,4,6,33.3,3,4,6,33.3,6,Adajan;Ghod Dod,(none),(none)
W2-210,2026-07-02,3,9107984883;9108030544;9108047513,7,9,22.2,3,7,9,22.2,10,Adajan;Navsari;Olpad,(none),(none)
W2-211,2026-07-02,3,9108053500;9108010859;9107955866,15,17,11.8,3,15,17,11.8,17,Ghod Dod;Vapi,(none),(none)
W2-212,2026-06-26,3,9107895835;9107931925;9107945801,3,6,50.0,3,3,6,50.0,6,(unknown);Bardoli,(none),(none)
W2-213,2026-08-04,3,9108680023;9108680025;9108246959,1,3,66.7,3,1,3,66.7,3,Adajan,1;2,2026-08-04
W2-214,2026-08-04,3,9108493182;9108246966;9108644680,4,6,33.3,3,4,6,33.3,6,Adajan;Bharuch;Ghod Dod,1;2;4,2026-08-04
W2-215,2026-06-27,3,9107454980;9107952621;9107921255,3,5,40.0,3,3,5,40.0,5,Adajan;Varachha,(none),(none)
W2-216,2026-07-18,3,9108249963;9108344165;9108382305,3,6,50.0,3,3,6,50.0,6,Adajan;Varachha,(none);2,(none);2026-07-18
W2-217,2026-07-18,3,9108333065;9108362646;9108330369,2,4,50.0,3,2,4,50.0,4,Ghod Dod,(none);4,(none);2026-07-20
W2-218,2026-07-18,3,9108335248;9108310549;9108318365,2,4,50.0,3,2,4,50.0,4,Adajan;Varachha,1;2;3,2026-07-18
W2-219,2026-07-13,3,9108190069;9108190068;9108153561,1,3,66.7,3,1,3,66.7,3,Adajan;Navsari,(none),(none)
W2-220,2026-07-13,3,9108212243;9108268018;9108239142,5,7,28.6,3,5,7,28.6,8,(unknown);Adajan,(none);3,(none);2026-07-13
W2-221,2026-07-13,3,9108222337;9108265800;9108265803,1,3,66.7,3,1,3,66.7,4,Adajan;Ghod Dod;Navsari,(none);3,(none);2026-07-13
W2-222,2026-07-13,3,9108227141;9107806394;9107930339,1,3,66.7,3,1,3,66.7,3,Bharuch,4,2026-07-13
W2-223,2026-07-14,3,9108186187;9108245658;9108245657,1,3,66.7,3,1,3,66.7,3,No Route,(none),(none)
W2-224,2026-07-14,3,9108270128;9108254486;9108267736,12,16,25.0,3,12,16,25.0,16,(unknown);Vapi;Varachha,(none);2;4,(none);2026-07-14
W2-225,2026-07-15,3,9108150394;9108256546;9108244341,5,9,44.4,3,5,9,44.4,9,Adajan,1,2026-07-15
W2-226,2026-07-15,3,9108301925;9108302121;9108304615,5,7,28.6,3,5,7,28.6,7,Bharuch,4,2026-07-15
W2-227,2026-07-24,3,9108495519;9108463848;9108485311,10,13,23.1,3,10,13,23.1,13,Adajan;Ghod Dod;Udhana,1;2,2026-07-24
W2-228,2026-07-24,3,9108495520;9108483112;9108454530,2,4,50.0,3,2,4,50.0,4,Adajan;Udhana,1,2026-07-24;2026-07-25
W2-229,2026-07-11,3,9108169589;9108213154;9108164199,4,6,33.3,3,4,6,33.3,6,Adajan;Ghod Dod;Varachha,1;3,2026-07-11;2026-07-12
W2-230,2026-07-11,3,9108190584;9108173489;9108190054,6,9,33.3,3,6,9,33.3,9,Adajan;Navsari;Vapi,2;4,2026-07-11
W2-231,2026-07-04,3,9108078454;9108011855;9107990133,4,6,33.3,3,4,6,33.3,6,Adajan;Ghod Dod,(none),(none)
W2-232,2026-07-04,3,9107954851;9108053163;9108054748,4,7,42.9,3,4,7,42.9,7,Adajan;Ghod Dod,1;3,2026-07-04;2026-07-07
W2-233,2026-07-29,3,9108561117;9108369289;9108585736,8,11,27.3,3,8,11,27.3,11,Adajan;Ghod Dod,(none);2,(none);2026-07-29
W2-234,2026-08-07,3,9108779300;9108766111;9108738013,14,17,17.6,3,14,17,17.6,17,No Route;Varachha,(none);1;3,(none);2026-08-07
W2-235,2026-08-07,3,9108746418;9108614494;9108753736,5,8,37.5,3,5,8,37.5,8,Ghod Dod,(none),(none)
W2-236,2026-08-07,3,9107512396;9108754459;9108748631,4,6,33.3,3,4,6,33.3,6,Vapi;Varachha,(none);3;4,(none);2026-08-07
W2-237,2026-08-07,3,9108737337;9108597661;9108749861,1,3,66.7,3,1,3,66.7,3,Ghod Dod;Varachha,(none),(none)
W2-238,2026-07-06,3,9108050596;9108012794;9108054879,2,4,50.0,3,2,4,50.0,4,Adajan;Bharuch;IGT / CROSS,(none);1,(none);2026-07-07
W2-239,2026-07-28,3,9108526921;9108513289;9108513292,1,3,66.7,3,1,3,66.7,3,Adajan;Ghod Dod;Vapi,(none);1,(none);2026-07-28;2026-07-29
W2-240,2026-07-28,3,9108514209;9108514208;9108540637,1,3,66.7,3,1,3,66.7,3,Ghod Dod;Udhana,2,2026-07-28
W2-241,2026-07-28,3,9108501468;9108514206;9108507446,6,8,25.0,3,6,8,25.0,9,Adajan;Chikhli,1;2;4,2026-07-28;2026-07-29
W2-242,2026-07-28,3,9108526926;9108526929;9108423280,3,6,50.0,3,3,6,50.0,6,Adajan;Varachha,1,2026-07-28
W2-243,2026-07-28,3,9108513643;9108513642;9108489672,3,6,50.0,3,3,6,50.0,6,Bharuch;Ghod Dod,(none),(none)
W2-244,2026-07-28,3,9107512387;9107512389;9107512388,1,3,66.7,3,1,3,66.7,4,Ghod Dod,(none),(none)
W2-245,2026-07-31,3,9108637013;9108536438;9108613940,4,6,33.3,3,4,6,33.3,7,Navsari;Varachha,(none),(none)
W2-246,2026-06-19,3,9107734259;9107764239;9107764240,4,6,33.3,3,4,6,33.3,6,(unknown);Adajan;Ghod Dod,(none),(none)
W2-247,2026-06-19,3,9107677679;9107725549;9107759814,6,8,25.0,3,6,8,25.0,8,(unknown);Adajan;Chikhli,(none),(none)
W2-248,2026-06-19,3,9107537681;9107640196;9107757369,1,3,66.7,3,1,3,66.7,3,Udhana;Varachha,(none),(none)
W2-249,2026-06-17,3,9107725114;9107728720;9107623099,4,7,42.9,3,4,7,42.9,7,Adajan;Navsari;Vapi,(none),(none)
W2-250,2026-06-17,3,9107720908;9107720915;9107680573,8,10,20.0,3,8,10,20.0,10,Adajan;Varachha,(none),(none)
W2-251,2026-06-17,3,9107723523;9107731611;9107740603,2,4,50.0,3,2,4,50.0,4,Adajan;Ghod Dod,(none),(none)
W2-252,2026-07-07,3,9108133417;9108090859;9108114671,16,19,15.8,3,16,19,15.8,22,Bharuch;Chikhli;Navsari,(none),(none)
