obdA,obdB,bucketIstDay,sharedDistinctSkus,distinctSkusA,distinctSkusB,containment,activeLinesA,activeLinesB,windowA,windowB,targetDateA,targetDateB,routeA,routeB
9107834707,9107842914,2026-06-23,1,6,2,0.500,6,2,,,,,Ghod Dod,Vapi
9107642498,9107842914,2026-06-23,1,8,2,0.500,9,2,,,,,Adajan,Vapi
9107842914,9107842916,2026-06-23,1,2,9,0.500,2,9,,,,,Vapi,Vapi
9107834708,9106582883,2026-06-23,2,4,2,1.000,4,2,,,,,Adajan,Adajan
9107634948,9106634247,2026-06-23,6,7,6,1.000,7,6,,,,,Adajan,Adajan
9107834709,9107783273,2026-06-23,2,28,4,0.500,28,5,,,,,Navsari,Adajan
9107827923,9107783273,2026-06-23,2,16,4,0.500,16,5,,,,,Adajan,Adajan
9107834709,9107343776,2026-06-23,3,28,6,0.500,28,6,,,,,Navsari,Varachha
9107834709,9107623129,2026-06-23,1,28,2,0.500,28,2,,,,,Navsari,Ghod Dod
9107834709,9106634249,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Varachha
9107834709,9107630477,2026-06-23,2,28,3,0.667,28,3,,,,,Navsari,Bharuch
9107343776,9107623129,2026-06-23,1,6,2,0.500,6,2,,,,,Varachha,Ghod Dod
9107343776,9106634249,2026-06-23,1,6,1,1.000,6,1,,,,,Varachha,Varachha
9107343776,9107630477,2026-06-23,2,6,3,0.667,6,3,,,,,Varachha,Bharuch
9107623129,9106634249,2026-06-23,1,2,1,1.000,2,1,,,,,Ghod Dod,Varachha
9107623129,9107630477,2026-06-23,2,2,3,1.000,2,3,,,,,Ghod Dod,Bharuch
9106634249,9107630477,2026-06-23,1,1,3,1.000,1,3,,,,,Varachha,Bharuch
9107842915,9107488878,2026-06-23,4,4,4,1.000,4,5,,,,,Vapi,Vapi
9107834709,9107848102,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Adajan
9107834709,9107848100,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Adajan
9107834709,9106582881,2026-06-23,2,28,2,1.000,28,2,,,,,Navsari,Adajan
9107827923,9106582881,2026-06-23,2,16,2,1.000,16,2,,,,,Adajan,Adajan
9107834709,9107848106,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Ghod Dod
9107827923,9107848106,2026-06-23,1,16,1,1.000,16,1,,,,,Adajan,Ghod Dod
9107783273,9107848106,2026-06-23,1,4,1,1.000,5,1,,,,,Adajan,Ghod Dod
9107783273,9106582881,2026-06-23,1,4,2,0.500,5,2,,,,,Adajan,Adajan
9107783273,9107813244,2026-06-23,2,4,4,0.500,5,4,,,,,Adajan,Parvat
9107848106,9106582881,2026-06-23,1,1,2,1.000,1,2,,,,,Ghod Dod,Adajan
9107848106,9107813244,2026-06-23,1,1,4,1.000,1,4,,,,,Ghod Dod,Parvat
9106582881,9107813244,2026-06-23,1,2,4,0.500,2,4,,,,,Adajan,Parvat
9107834709,9107833506,2026-06-23,1,28,2,0.500,28,2,,,,,Navsari,Vapi
9107834709,9106582886,2026-06-23,1,28,2,0.500,28,2,,,,,Navsari,Ghod Dod
9107833506,9107827924,2026-06-23,1,2,6,0.500,2,6,,,,,Vapi,Ghod Dod
9107833506,9106582886,2026-06-23,1,2,2,0.500,2,2,,,,,Vapi,Ghod Dod
9107827924,9106582886,2026-06-23,1,6,2,0.500,6,2,,,,,Ghod Dod,Ghod Dod
9107834709,9107709388,2026-06-23,1,28,1,1.000,28,1,,,,,Navsari,Adajan
9107834709,9107720562,2026-06-23,1,28,2,0.500,28,2,,,,,Navsari,Vapi
9107634948,9107720562,2026-06-23,2,7,2,1.000,7,2,,,,,Adajan,Vapi
9106634247,9107720562,2026-06-23,2,6,2,1.000,6,2,,,,,Adajan,Vapi
9107826222,9107834326,2026-06-23,1,8,1,1.000,8,1,,,,,Varachha,Ghod Dod
9107826222,9107321529,2026-06-23,2,8,2,1.000,8,2,,,,,Varachha,Varachha
9107826222,9107634947,2026-06-23,2,8,3,0.667,8,3,,,,,Varachha,Ghod Dod
9107834326,9107321529,2026-06-23,1,1,2,1.000,1,2,,,,,Ghod Dod,Varachha
9107834326,9107634947,2026-06-23,1,1,3,1.000,1,3,,,,,Ghod Dod,Ghod Dod
9107321529,9107634947,2026-06-23,2,2,3,1.000,2,3,,,,,Varachha,Ghod Dod
9107826222,9107709392,2026-06-23,1,8,1,1.000,8,1,,,,,Varachha,Navsari
9107826222,9107826223,2026-06-23,1,8,1,1.000,8,1,,,,,Varachha,Varachha
9107826222,9107834327,2026-06-23,1,8,2,0.500,8,2,,,,,Varachha,Ghod Dod
9107826222,9107244285,2026-06-23,1,8,1,1.000,8,1,,,,,Varachha,Varachha
9107826222,9107244284,2026-06-23,1,8,1,1.000,8,1,,,,,Varachha,Varachha
9107826222,9107709390,2026-06-23,1,8,2,0.500,8,2,,,,,Varachha,Varachha
9107826223,9107194979,2026-06-23,1,1,4,1.000,1,4,,,,,Varachha,
9107826223,9107321529,2026-06-23,1,1,2,1.000,1,2,,,,,Varachha,Varachha
9107826223,9107834327,2026-06-23,1,1,2,1.000,1,2,,,,,Varachha,Ghod Dod
9107826223,9107244285,2026-06-23,1,1,1,1.000,1,1,,,,,Varachha,Varachha
9107826223,9107244284,2026-06-23,1,1,1,1.000,1,1,,,,,Varachha,Varachha
9107826223,9107634947,2026-06-23,1,1,3,1.000,1,3,,,,,Varachha,Ghod Dod
9107826223,9107810151,2026-06-23,1,1,5,1.000,1,5,,,,,Varachha,Ghod Dod
9107826223,9107842917,2026-06-23,1,1,11,1.000,1,11,,,,,Varachha,Navsari
9107826223,9107709390,2026-06-23,1,1,2,1.000,1,2,,,,,Varachha,Varachha
9107194979,9107321529,2026-06-23,1,4,2,0.500,4,2,,,,,,Varachha
9107194979,9107834327,2026-06-23,1,4,2,0.500,4,2,,,,,,Ghod Dod
9107194979,9107244285,2026-06-23,1,4,1,1.000,4,1,,,,,,Varachha
9107194979,9107244284,2026-06-23,1,4,1,1.000,4,1,,,,,,Varachha
9107194979,9107709390,2026-06-23,1,4,2,0.500,4,2,,,,,,Varachha
9107321529,9107834327,2026-06-23,1,2,2,0.500,2,2,,,,,Varachha,Ghod Dod
9107321529,9107244285,2026-06-23,1,2,1,1.000,2,1,,,,,Varachha,Varachha
9107321529,9107244284,2026-06-23,1,2,1,1.000,2,1,,,,,Varachha,Varachha
9107321529,9107810151,2026-06-23,1,2,5,0.500,2,5,,,,,Varachha,Ghod Dod
9107321529,9107842917,2026-06-23,1,2,11,0.500,2,11,,,,,Varachha,Navsari
9107321529,9107709390,2026-06-23,1,2,2,0.500,2,2,,,,,Varachha,Varachha
9107834327,9107244285,2026-06-23,1,2,1,1.000,2,1,,,,,Ghod Dod,Varachha
9107834327,9107244284,2026-06-23,1,2,1,1.000,2,1,,,,,Ghod Dod,Varachha
9107834327,9107634947,2026-06-23,2,2,3,1.000,2,3,,,,,Ghod Dod,Ghod Dod
9107834327,9107810151,2026-06-23,1,2,5,0.500,2,5,,,,,Ghod Dod,Ghod Dod
9107834327,9107842917,2026-06-23,1,2,11,0.500,2,11,,,,,Ghod Dod,Navsari
9107834327,9107709390,2026-06-23,1,2,2,0.500,2,2,,,,,Ghod Dod,Varachha
9107244285,9107244284,2026-06-23,1,1,1,1.000,1,1,,,,,Varachha,Varachha
9107244285,9107634947,2026-06-23,1,1,3,1.000,1,3,,,,,Varachha,Ghod Dod
9107244285,9107810151,2026-06-23,1,1,5,1.000,1,5,,,,,Varachha,Ghod Dod
9107244285,9107842917,2026-06-23,1,1,11,1.000,1,11,,,,,Varachha,Navsari
9107244285,9107709390,2026-06-23,1,1,2,1.000,1,2,,,,,Varachha,Varachha
9107244284,9107634947,2026-06-23,1,1,3,1.000,1,3,,,,,Varachha,Ghod Dod
9107244284,9107810151,2026-06-23,1,1,5,1.000,1,5,,,,,Varachha,Ghod Dod
9107244284,9107842917,2026-06-23,1,1,11,1.000,1,11,,,,,Varachha,Navsari
9107244284,9107709390,2026-06-23,1,1,2,1.000,1,2,,,,,Varachha,Varachha
9107634947,9107709390,2026-06-23,1,3,2,0.500,3,2,,,,,Ghod Dod,Varachha
9107810151,9107709390,2026-06-23,1,5,2,0.500,5,2,,,,,Ghod Dod,Varachha
9107842917,9107709390,2026-06-23,1,11,2,0.500,11,2,,,,,Navsari,Varachha
9107826222,9107623129,2026-06-23,1,8,2,0.500,8,2,,,,,Varachha,Ghod Dod
9107826222,9106634244,2026-06-23,1,8,2,0.500,8,2,,,,,Varachha,Ghod Dod
9106634244,9107810151,2026-06-23,1,2,5,0.500,2,5,,,,,Ghod Dod,Ghod Dod
9106568671,9107454957,2026-06-23,4,4,4,1.000,4,4,,,,,Ghod Dod,Ghod Dod
9106568671,9106582880,2026-06-23,1,4,2,0.500,4,2,,,,,Ghod Dod,Adajan
9107454957,9106582880,2026-06-23,1,4,2,0.500,4,2,,,,,Ghod Dod,Adajan
9107821618,9107821619,2026-06-23,1,1,1,1.000,1,1,,,,,Navsari,Chikhli
9107821618,9107821620,2026-06-23,1,1,1,1.000,1,1,,,,,Navsari,Navsari
9107821618,9107783274,2026-06-23,1,1,1,1.000,1,1,,,,,Navsari,Bardoli
9107821618,9107783275,2026-06-23,1,1,1,1.000,1,1,,,,,Navsari,Navsari
9107821619,9107821620,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Navsari
9107821619,9107783274,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Bardoli
9107821619,9107783275,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Navsari
9107821620,9107783274,2026-06-23,1,1,1,1.000,1,1,,,,,Navsari,Bardoli
9107821620,9107783275,2026-06-23,1,1,1,1.000,1,1,,,,,Navsari,Navsari
9107783274,9107783275,2026-06-23,1,1,1,1.000,1,1,,,,,Bardoli,Navsari
9107821621,9107644353,2026-06-23,1,5,1,1.000,5,1,,,,,Ghod Dod,Adajan
9107833504,9106634245,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Ghod Dod
9107833504,9107709389,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Ghod Dod
9106634245,9107709389,2026-06-23,1,1,1,1.000,1,1,,,,,Ghod Dod,Ghod Dod
9107833505,9107642496,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Vapi
9107833505,9106634246,2026-06-23,1,1,1,1.000,1,1,,,,,Chikhli,Bharuch
9107642496,9106634246,2026-06-23,1,1,1,1.000,1,1,,,,,Vapi,Bharuch
9107343775,9106573884,2026-06-23,1,1,1,1.000,2,1,,,,,Ghod Dod,
9107343776,9107244281,2026-06-23,1,6,1,1.000,6,1,,,,,Varachha,Ghod Dod
9107343776,9107841810,2026-06-23,1,6,1,1.000,6,1,,,,,Varachha,Vapi
9107244281,9107841810,2026-06-23,1,1,1,1.000,1,1,,,,,Ghod Dod,Vapi
9107343776,9107244282,2026-06-23,1,6,2,0.500,6,2,,,,,Varachha,Adajan
9107642498,9107810148,2026-06-23,1,8,1,1.000,9,1,,,,,Adajan,Ghod Dod
9107642498,9107244282,2026-06-23,1,8,2,0.500,9,2,,,,,Adajan,Adajan
9106582884,9107848101,2026-06-23,1,1,7,1.000,1,7,,,,,Adajan,Udhana
9107512368,9107512369,2026-06-23,1,2,1,1.000,2,1,,,,,Ghod Dod,Ghod Dod
9106582886,9107842916,2026-06-23,1,2,9,0.500,2,9,,,,,Ghod Dod,Vapi
9107849506,9107825011,2026-06-23,1,3,1,1.000,3,1,,,,,Ghod Dod,Adajan
9107709391,9106582880,2026-06-23,1,2,2,0.500,2,2,,,,,Adajan,Adajan
9107709391,9107848103,2026-06-23,1,2,1,1.000,2,1,,,,,Adajan,Adajan
9107709391,9107810151,2026-06-23,1,2,5,0.500,2,5,,,,,Adajan,Ghod Dod
9107848103,9107810151,2026-06-23,1,1,5,1.000,1,5,,,,,Adajan,Ghod Dod
9107799299,9106763292,2026-06-23,4,4,6,1.000,5,8,,,,,IGT / CROSS,IGT / CROSS
9107848105,9107244283,2026-06-23,1,1,1,1.000,1,1,,,,,Adajan,Adajan
9107848104,9107709390,2026-06-23,1,1,2,1.000,1,2,,,,,Adajan,Varachha
9107790774,9107840737,2026-06-23,1,1,1,1.000,1,1,,,,,Ghod Dod,Ghod Dod
9107848101,9107244286,2026-06-23,1,7,2,0.500,7,2,,,,,Udhana,Varachha
9107815428,9107836507,2026-06-23,1,1,1,1.000,1,1,,,,,Adajan,Ghod Dod
9107332766,9107820128,2026-06-23,1,3,1,1.000,3,1,,,,,Ghod Dod,Ghod Dod
9107634948,9107836510,2026-06-23,1,7,1,1.000,7,1,,,,,Adajan,Adajan
9106634247,9107836510,2026-06-23,1,6,1,1.000,6,1,,,,,Adajan,Adajan
9107820138,9107820137,2026-06-23,1,1,4,1.000,1,4,,,,,Vapi,Bharuch
9107800372,9107967125,2026-06-29,1,3,1,1.000,3,1,,,,,Vansda,Kamrej
9107965018,9107967125,2026-06-29,1,4,1,1.000,5,1,,,,,Bharuch,Kamrej
9107965018,9107893587,2026-06-29,2,4,18,0.500,5,19,,,,,Bharuch,Ghod Dod
9107965018,9107960053,2026-06-29,2,4,15,0.500,5,15,,,,,Bharuch,Ghod Dod
9107965018,9107957666,2026-06-29,2,4,3,0.667,5,3,,,,,Bharuch,Adajan
9107965018,9107957668,2026-06-29,2,4,3,0.667,5,3,,,,,Bharuch,Navsari
9107967125,9107893587,2026-06-29,1,1,18,1.000,1,19,,,,,Kamrej,Ghod Dod
9107967125,9107960053,2026-06-29,1,1,15,1.000,1,15,,,,,Kamrej,Ghod Dod
9107967125,9107957666,2026-06-29,1,1,3,1.000,1,3,,,,,Kamrej,Adajan
9107967125,9107957668,2026-06-29,1,1,3,1.000,1,3,,,,,Kamrej,Navsari
9107893587,9107957666,2026-06-29,2,18,3,0.667,19,3,,,,,Ghod Dod,Adajan
9107893587,9107957668,2026-06-29,2,18,3,0.667,19,3,,,,,Ghod Dod,Navsari
9107960053,9107957666,2026-06-29,3,15,3,1.000,15,3,,,,,Ghod Dod,Adajan
9107960053,9107957668,2026-06-29,2,15,3,0.667,15,3,,,,,Ghod Dod,Navsari
9107957666,9107957668,2026-06-29,2,3,3,0.667,3,3,,,,,Adajan,Navsari
9107987821,9107965626,2026-06-29,1,1,2,1.000,1,2,,,,,Adajan,Adajan
9107987821,9107893588,2026-06-29,1,1,6,1.000,1,6,,,,,Adajan,Adajan
9107987821,9107893589,2026-06-29,1,1,7,1.000,1,7,,,,,Adajan,Navsari
9107965626,9107893588,2026-06-29,1,2,6,0.500,2,6,,,,,Adajan,Adajan
9107965626,9107893589,2026-06-29,1,2,7,0.500,2,7,,,,,Adajan,Navsari
9107987820,9107800373,2026-06-29,1,1,3,1.000,1,3,,4,,2026-07-03,,Udhana
9107987820,9107911675,2026-06-29,1,1,1,1.000,1,1,,4,,2026-07-03,,Kamrej
9107987820,9107911676,2026-06-29,1,1,11,1.000,1,11,,4,,2026-07-03,,Varachha
9107987820,9107962959,2026-06-29,1,1,1,1.000,1,1,,4,,2026-07-03,,Kamrej
9107987820,9107958560,2026-06-29,1,1,1,1.000,1,1,,4,,2026-07-03,,Kamrej
9107987820,9107898348,2026-06-29,1,1,3,1.000,1,3,,,,,,Ghod Dod
9107987820,9107790598,2026-06-29,1,1,3,1.000,1,3,,,,,,Varachha
9107987820,9107754661,2026-06-29,1,1,2,1.000,1,2,,,,,,Ghod Dod
9107987820,9107975442,2026-06-29,1,1,3,1.000,1,3,,,,,,Adajan
9107987820,9107965024,2026-06-29,1,1,1,1.000,1,1,,,,,,Vapi
9107987820,9107960049,2026-06-29,1,1,2,1.000,1,2,,,,,,Kamrej
9107800373,9107911675,2026-06-29,1,3,1,1.000,3,1,4,4,2026-07-03,2026-07-03,Udhana,Kamrej
9107800373,9107962959,2026-06-29,1,3,1,1.000,3,1,4,4,2026-07-03,2026-07-03,Udhana,Kamrej
9107800373,9107958560,2026-06-29,1,3,1,1.000,3,1,4,4,2026-07-03,2026-07-03,Udhana,Kamrej
9107800373,9107754661,2026-06-29,1,3,2,0.500,3,2,4,,2026-07-03,,Udhana,Ghod Dod
9107800373,9107965024,2026-06-29,1,3,1,1.000,3,1,4,,2026-07-03,,Udhana,Vapi
9107800373,9107960049,2026-06-29,2,3,2,1.000,3,2,4,,2026-07-03,,Udhana,Kamrej
9107911675,9107911676,2026-06-29,1,1,11,1.000,1,11,4,4,2026-07-03,2026-07-03,Kamrej,Varachha
9107911675,9107962959,2026-06-29,1,1,1,1.000,1,1,4,4,2026-07-03,2026-07-03,Kamrej,Kamrej
9107911675,9107958560,2026-06-29,1,1,1,1.000,1,1,4,4,2026-07-03,2026-07-03,Kamrej,Kamrej
9107911675,9107898348,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Ghod Dod
9107911675,9107790598,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Varachha
9107911675,9107754661,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Kamrej,Ghod Dod
9107911675,9107975442,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Adajan
9107911675,9107965024,2026-06-29,1,1,1,1.000,1,1,4,,2026-07-03,,Kamrej,Vapi
9107911675,9107960049,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Kamrej,Kamrej
9107911676,9107962959,2026-06-29,1,11,1,1.000,11,1,4,4,2026-07-03,2026-07-03,Varachha,Kamrej
9107911676,9107958560,2026-06-29,1,11,1,1.000,11,1,4,4,2026-07-03,2026-07-03,Varachha,Kamrej
9107911676,9107754661,2026-06-29,1,11,2,0.500,11,2,4,,2026-07-03,,Varachha,Ghod Dod
9107911676,9107975442,2026-06-29,2,11,3,0.667,11,3,4,,2026-07-03,,Varachha,Adajan
9107911676,9107965024,2026-06-29,1,11,1,1.000,11,1,4,,2026-07-03,,Varachha,Vapi
9107911676,9107960049,2026-06-29,1,11,2,0.500,11,2,4,,2026-07-03,,Varachha,Kamrej
9107962959,9107958560,2026-06-29,1,1,1,1.000,1,1,4,4,2026-07-03,2026-07-03,Kamrej,Kamrej
9107962959,9107898348,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Ghod Dod
9107962959,9107790598,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Varachha
9107962959,9107754661,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Kamrej,Ghod Dod
9107962959,9107975442,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Adajan
9107962959,9107965024,2026-06-29,1,1,1,1.000,1,1,4,,2026-07-03,,Kamrej,Vapi
9107962959,9107960049,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Kamrej,Kamrej
9107958560,9107898348,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Ghod Dod
9107958560,9107790598,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Varachha
9107958560,9107754661,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Kamrej,Ghod Dod
9107958560,9107975442,2026-06-29,1,1,3,1.000,1,3,4,,2026-07-03,,Kamrej,Adajan
9107958560,9107965024,2026-06-29,1,1,1,1.000,1,1,4,,2026-07-03,,Kamrej,Vapi
9107958560,9107960049,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Kamrej,Kamrej
9107898348,9107754661,2026-06-29,1,3,2,0.500,3,2,,,,,Ghod Dod,Ghod Dod
9107898348,9107965024,2026-06-29,1,3,1,1.000,3,1,,,,,Ghod Dod,Vapi
9107898348,9107960049,2026-06-29,1,3,2,0.500,3,2,,,,,Ghod Dod,Kamrej
9107790598,9107754661,2026-06-29,1,3,2,0.500,3,2,,,,,Varachha,Ghod Dod
9107790598,9107965024,2026-06-29,1,3,1,1.000,3,1,,,,,Varachha,Vapi
9107790598,9107960049,2026-06-29,1,3,2,0.500,3,2,,,,,Varachha,Kamrej
9107754661,9107975442,2026-06-29,1,2,3,0.500,2,3,,,,,Ghod Dod,Adajan
9107754661,9107965024,2026-06-29,1,2,1,1.000,2,1,,,,,Ghod Dod,Vapi
9107754661,9107960049,2026-06-29,1,2,2,0.500,2,2,,,,,Ghod Dod,Kamrej
9107975442,9107965024,2026-06-29,1,3,1,1.000,3,1,,,,,Adajan,Vapi
9107975442,9107960049,2026-06-29,1,3,2,0.500,3,2,,,,,Adajan,Kamrej
9107965024,9107960049,2026-06-29,1,1,2,1.000,1,2,,,,,Vapi,Kamrej
9107940539,9107962934,2026-06-29,1,2,3,0.500,2,4,4,4,2026-07-03,2026-07-03,Kamrej,Bharuch
9107940538,9107940537,2026-06-29,1,1,1,1.000,3,1,4,4,2026-07-03,2026-07-03,,
9107975521,9107975517,2026-06-29,1,2,1,1.000,2,1,,,,,Udhana,
9107975521,9107754662,2026-06-29,1,2,4,0.500,2,4,,,,,Udhana,Ghod Dod
9107975521,9107975439,2026-06-29,1,2,4,0.500,2,4,,,,,Udhana,Parvat
9107975521,9107946935,2026-06-29,2,2,22,1.000,2,22,,,,,Udhana,Parvat
9107975521,9107789849,2026-06-29,1,2,2,0.500,2,2,,,,,Udhana,Adajan
9107975521,9107893587,2026-06-29,1,2,18,0.500,2,19,,,,,Udhana,Ghod Dod
9107975521,9107957663,2026-06-29,2,2,10,1.000,2,10,,,,,Udhana,Adajan
9107975517,9107754662,2026-06-29,1,1,4,1.000,1,4,,,,,,Ghod Dod
9107975517,9107975439,2026-06-29,1,1,4,1.000,1,4,,,,,,Parvat
9107975517,9107946935,2026-06-29,1,1,22,1.000,1,22,,,,,,Parvat
9107975517,9107789849,2026-06-29,1,1,2,1.000,1,2,,,,,,Adajan
9107975517,9107893587,2026-06-29,1,1,18,1.000,1,19,,,,,,Ghod Dod
9107975517,9107957663,2026-06-29,1,1,10,1.000,1,10,,,,,,Adajan
9107754662,9107789849,2026-06-29,1,4,2,0.500,4,2,,,,,Ghod Dod,Adajan
9107975439,9107789849,2026-06-29,1,4,2,0.500,4,2,,,,,Parvat,Adajan
9107946935,9107789849,2026-06-29,1,22,2,0.500,22,2,,,,,Parvat,Adajan
9107789849,9107893587,2026-06-29,1,2,18,0.500,2,19,,,,,Adajan,Ghod Dod
9107789849,9107957663,2026-06-29,1,2,10,0.500,2,10,,,,,Adajan,Adajan
9107975521,9107911676,2026-06-29,1,2,11,0.500,2,11,,4,,2026-07-03,Udhana,Varachha
9107975521,9107946773,2026-06-29,1,2,5,0.500,2,5,,,,,Udhana,Navsari
9107975522,9107790599,2026-06-29,1,1,5,1.000,1,5,4,,2026-07-03,,,Adajan
9107975522,9107962618,2026-06-29,1,1,9,1.000,1,9,4,,2026-07-03,,,Chikhli
9107911673,9107929276,2026-06-29,1,1,1,1.000,1,1,4,4,2026-07-03,2026-07-03,Adajan,Bharuch
9107962961,9107884263,2026-06-29,1,1,1,1.000,1,1,,,,,Bharuch,Bharuch
9107911676,9107910859,2026-06-29,1,11,2,0.500,11,2,4,4,2026-07-03,2026-07-03,Varachha,Chikhli
9107975442,9107910859,2026-06-29,1,3,2,0.500,3,2,,4,,2026-07-03,Adajan,Chikhli
9107946932,9107946773,2026-06-29,2,4,5,0.500,4,5,,,,,Udhana,Navsari
9107946932,9107910859,2026-06-29,1,4,2,0.500,4,2,,4,,2026-07-03,Udhana,Chikhli
9107946932,9107957665,2026-06-29,2,4,3,0.667,4,3,,,,,Udhana,Ghod Dod
9107946773,9107910859,2026-06-29,1,5,2,0.500,5,2,,4,,2026-07-03,Navsari,Chikhli
9107910859,9107957665,2026-06-29,1,2,3,0.500,2,3,4,,2026-07-03,,Chikhli,Ghod Dod
9107911676,9107789851,2026-06-29,1,11,1,1.000,11,1,4,,2026-07-03,,Varachha,Ghod Dod
9107911676,9107975743,2026-06-29,1,11,2,0.500,11,2,4,,2026-07-03,,Varachha,Adajan
9107911676,9107967124,2026-06-29,1,11,2,0.500,11,2,4,,2026-07-03,,Varachha,Ghod Dod
9107975743,9107975742,2026-06-29,1,2,7,0.500,2,7,,,,,Adajan,Ghod Dod
9107975743,9107975738,2026-06-29,1,2,46,0.500,2,49,,,,,Adajan,Ghod Dod
9107975743,9107967124,2026-06-29,1,2,2,0.500,2,2,,,,,Adajan,Ghod Dod
9107975743,9107893588,2026-06-29,1,2,6,0.500,2,6,,,,,Adajan,Adajan
9107975742,9107967124,2026-06-29,1,7,2,0.500,7,2,,,,,Ghod Dod,Ghod Dod
9107975738,9107967124,2026-06-29,2,46,2,1.000,49,2,,,,,Ghod Dod,Ghod Dod
9107967124,9107893588,2026-06-29,1,2,6,0.500,2,6,,,,,Ghod Dod,Adajan
9107929277,9107946935,2026-06-29,1,1,22,1.000,1,22,4,,2026-07-03,,Ghod Dod,Parvat
9107929277,9107910860,2026-06-29,1,1,1,1.000,1,1,4,4,2026-07-03,2026-07-03,Ghod Dod,Bharuch
9107929277,9107958774,2026-06-29,1,1,1,1.000,1,1,4,,2026-07-03,,Ghod Dod,Ghod Dod
9107946935,9107910860,2026-06-29,1,22,1,1.000,22,1,,4,,2026-07-03,Parvat,Bharuch
9107946935,9107958774,2026-06-29,1,22,1,1.000,22,1,,,,,Parvat,Ghod Dod
9107910860,9107958774,2026-06-29,1,1,1,1.000,1,1,4,,2026-07-03,,Bharuch,Ghod Dod
9107944928,9107790597,2026-06-29,1,1,2,1.000,1,2,,,,,Udhana,Adajan
9107944928,9107975738,2026-06-29,1,1,46,1.000,1,49,,,,,Udhana,Ghod Dod
9107944928,9107910685,2026-06-29,1,1,14,1.000,1,14,,,,,Udhana,Adajan
9107944928,9107871485,2026-06-29,1,1,2,1.000,1,2,,,,,Udhana,Ghod Dod
9107944928,9107946771,2026-06-29,1,1,5,1.000,1,5,,,,,Udhana,Ghod Dod
9107944928,9107957663,2026-06-29,1,1,10,1.000,1,10,,,,,Udhana,Adajan
9107790597,9107975738,2026-06-29,1,2,46,0.500,2,49,,,,,Adajan,Ghod Dod
9107790597,9107910685,2026-06-29,1,2,14,0.500,2,14,,,,,Adajan,Adajan
9107790597,9107871485,2026-06-29,1,2,2,0.500,2,2,,,,,Adajan,Ghod Dod
9107790597,9107946771,2026-06-29,1,2,5,0.500,2,5,,,,,Adajan,Ghod Dod
9107790597,9107957663,2026-06-29,1,2,10,0.500,2,10,,,,,Adajan,Adajan
9107975738,9107871485,2026-06-29,1,46,2,0.500,49,2,,,,,Ghod Dod,Ghod Dod
9107975738,9107946771,2026-06-29,3,46,5,0.600,49,5,,,,,Ghod Dod,Ghod Dod
9107910685,9107871485,2026-06-29,1,14,2,0.500,14,2,,,,,Adajan,Ghod Dod
9107871485,9107946771,2026-06-29,2,2,5,1.000,2,5,,,,,Ghod Dod,Ghod Dod
9107871485,9107957663,2026-06-29,2,2,10,1.000,2,10,,,,,Ghod Dod,Adajan
9107946771,9107957663,2026-06-29,3,5,10,0.600,5,10,,,,,Ghod Dod,Adajan
9107970543,9107918552,2026-06-29,1,1,2,1.000,1,3,4,,2026-07-03,,Adajan,Adajan
9107970543,9107965626,2026-06-29,1,1,2,1.000,1,2,4,,2026-07-03,,Adajan,Adajan
9107970543,9107789846,2026-06-29,1,1,20,1.000,1,21,4,,2026-07-03,,Adajan,Adajan
9107918552,9107965626,2026-06-29,1,2,2,0.500,3,2,,,,,Adajan,Adajan
9107918552,9107789846,2026-06-29,2,2,20,1.000,3,21,,,,,Adajan,Adajan
9107965626,9107789846,2026-06-29,1,2,20,0.500,2,21,,,,,Adajan,Adajan
9107975944,9107946932,2026-06-29,1,1,4,1.000,1,4,4,,2026-07-03,,Navsari,Udhana
9107975944,9107893588,2026-06-29,1,1,6,1.000,1,6,4,,2026-07-03,,Navsari,Adajan
