category,product,baseColour,sku_count,example_description
SADOLIN,WOOD STAIN,WALNUT,1,DN SADOLIN WOOD STAIN WALNUT 500ML
SATIN,SATIN STAY BRIGHT,90 BASE,4,DN SATIN STAY BRIGHT WHITE BASE 10L
SATIN,SATIN STAY BRIGHT,92 BASE,4,DN SATIN STAY BRIGHT INT. BASE 0.9L
SATIN,SATIN STAY BRIGHT,93 BASE,4,DN SAT FIN 93 BASE 9.25L
SATIN,SATIN STAY BRIGHT,94 BASE,3,DN SATIN STAY BRIGHT ACC. BASE 0.9L
SATIN,SATIN STAY BRIGHT,97 BASE,1,DN SAT FIN RED BASE 0.9LT
SATIN,SATIN STAY BRIGHT,BRILLIANT WHITE,4,DN SATIN STAY BRIGHT WHITE 10L
SATIN,SATIN STAY BRIGHT,WALNUT,5,DN SAT FIN WALNUT 10LT
SATIN,SUPER SATIN,90 BASE,5,DN SAT FIN WHITE BASE-NEW 10LT
SATIN,SUPER SATIN,92 BASE,4,DN SAT FIN INTERMEDIATE BASE 0.9 LT
SATIN,SUPER SATIN,93 BASE,3,DN SAT FIN 93 BASE 0.925L
SATIN,SUPER SATIN,94 BASE,4,DN SAT FIN ACCENT BASE 0.9LT
SATIN,SUPER SATIN,96 BASE,2,DN SAT FIN YELLOW BASE 0.9LT
SATIN,SUPER SATIN,97 BASE,1,DN SAT FIN RED BASE 3.6LT
SATIN,SUPER SATIN,BLACK,4,DN SAT FIN BLACK 1LT
SATIN,SUPER SATIN,BRILLIANT WHITE,5,DN SAT FIN WHITE 10L
SATIN,SUPER SATIN,BROWN,4,DN SAT FIN BROWN 1LT
SATIN,SUPER SATIN,MAHOGANY,3,DN SAT FIN MAHOGANY 1LT
SATIN,SUPER SATIN,RICH BROWN,3,"DN SAT FIN RICH BROWN  0,5 LTR"
SATIN,SUPER SATIN,SPECIAL TEAK,3,DN SAT FIN SPECIAL TEAK
SATIN,SUPER SATIN,TEAK,2,DN SAT FIN TEAK 1LT
SATIN,SUPER SATIN,TIMBER GOLDEN BROWN,2,DN SAT FIN TIMBER GOLDEN BROWN 1L
SPRAY PAINT,SR SPRAY PAINT,BLACK,1,DN SR SPRAY PAINT BLACK 400ML
SPRAY PAINT,SR SPRAY PAINT,BRILLIANT WHITE,1,DN SR SPRAY PAINT WHITE 400ML
SPRAY PAINT,SR SPRAY PAINT,BUS GREEN,1,DN SR SPRAY PAINT BUS GREEN 400ML
SPRAY PAINT,SR SPRAY PAINT,DARK BROWN,1,DN SR SPRAY PAINT DARK BROWN 400ML
SPRAY PAINT,SR SPRAY PAINT,DEEP ORANGE,1,DN SR SPRAY PAINT DEEP ORANGE 400ML
SPRAY PAINT,SR SPRAY PAINT,GOLD,1,DN SR SPRAY PAINT GOLD 400ML
SPRAY PAINT,SR SPRAY PAINT,GOLDEN BROWN,1,DN SR SPRAY PAINT GOLDEN BROWN 400ML
SPRAY PAINT,SR SPRAY PAINT,GOLDEN YELLOW,1,DN SR SPRAY PAINT GOLDEN YELLOW 400ML
SPRAY PAINT,SR SPRAY PAINT,PHIROZA,1,DN SR SPRAY PAINT PHIROZA 400ML
SPRAY PAINT,SR SPRAY PAINT,SIGNAL RED,1,DN SR SPRAY PAINT SIGNAL RED 400ML
SPRAY PAINT,SR SPRAY PAINT,SILVER,1,DN SR SPRAY PAINT SILVER 400ML
STAINER,BLACK,BLACK,3,DN Stainer Black 100ML
STAINER,BURNT SIENNA,,3,DN Stainer Burnt Sienna 100ML
STAINER,FAST BLUE,BLUE,3,DN Stainer Fast Blue 100ML
STAINER,FAST GREEN,GREEN,3,DN Stainer Fast Green 100ML
STAINER,FAST ORANGE,ORANGE,3,DN Stainer Fast Orange 100ML
STAINER,FAST RED,RED,3,DN Stainer Fast Red 100 ML
STAINER,FAST VIOLET,,3,DN Stainer Fast Violet 100ML
STAINER,FAST YELLOW,,3,DN Stainer Fast Yellow 100ML
STAINER,FASTYELLOWGREEN,,3,DN Stainer FastYellowGreen 100 ML
STAINER,YELLOW OXIDE,YOX,3,DN Stainer Yellow Oxide 100ML
SUPERCLEAN,3IN1,90 BASE,4,DPP-SCN 3IN1 MARK RESISTANT 90 BASE 10L
SUPERCLEAN,3IN1,92 BASE,4,DPP-SCN 3IN1 MARK RESISTANT 92 BASE 10L
SUPERCLEAN,3IN1,93 BASE,4,DPP-SCN 3in1 Mark resistant 93 Base 10L
SUPERCLEAN,3IN1,94 BASE,4,DN SCN 3IN1 94 BASE 20 L
SUPERCLEAN,3IN1,95 BASE,1,DN SCN 3IN1 DEEP BASE 4L
SUPERCLEAN,3IN1,97 BASE,3,DEL DN SCN 3IN1 97 BASE 10 LT
SUPERCLEAN,3IN1,BRILLIANT WHITE,4,DPP-SCN 3IN1 MARK RESISTANT BR.WHITE10L
SUPERCLEAN,3IN1,PASTEL BASE,2,DN SCN 3IN1 PASTEL BASE 10LT
SUPERCLEAN,3IN1,PRO BASE,1,DN 3IN1 PRO BASE 20LT
SUPERCLEAN,SUPERCLEAN,90 BASE,4,DN SUPERCLEAN NEW 90 BASE 10L
SUPERCLEAN,SUPERCLEAN,92 BASE,4,DN SUPERCLEAN NEW 92 BASE 10L
SUPERCLEAN,SUPERCLEAN,93 BASE,2,DN SuperClean New 93 base 20L
SUPERCLEAN,SUPERCLEAN,94 BASE,3,DN SUPERCLEAN NEW 94 BASE 10L
SUPERCLEAN,SUPERCLEAN,95 BASE,2,DN SUPERCLEAN DEEP 95 BASE 1L
SUPERCLEAN,SUPERCLEAN,96 BASE,2,DN SUPERCLEAN NEW 96 BASE 4L
SUPERCLEAN,SUPERCLEAN,97 BASE,2,DN SUPERCLEAN NEW 97 BASE 1L
SUPERCLEAN,SUPERCLEAN,BRILLIANT WHITE,4,DN SUPERCLEAN NEW BR.WHITE 10L
SUPERCOVER,SUPERCOVER,90 BASE,5,DN SUPERCOVER WHITE BASE 250ML
SUPERCOVER,SUPERCOVER,92 BASE,4,DN SUPERCOVER INTERMEDIATE BASE 250ML
SUPERCOVER,SUPERCOVER,94 BASE,4,DN SUPERCOVER ACCENT BASE 250ML
SUPERCOVER,SUPERCOVER,95 BASE,3,DN SUPERCOVER DEEP BASE 250ML
SUPERCOVER,SUPERCOVER,96 BASE,3,DN SUPERCOVER YELLOW BASE 250ML
SUPERCOVER,SUPERCOVER,97 BASE,3,DN SUPERCOVER RED BASE 250ML
SUPERCOVER,SUPERCOVER,BRILLIANT WHITE,4,DPP-SUPERCOVER ULTRA BR.WHITE 10L
SUPERCOVER,SUPERCOVER SHEEN,90 BASE,1,DN SUPERCOVER SHEEN WHITE BASE 10L
SUPERCOVER,SUPERCOVER SHEEN,92 BASE,2,DN SUPERCOVER SHEEN INTERMEDIATE BASE 1L
SUPERCOVER,SUPERCOVER SHEEN,94 BASE,1,DN SUPERCOVER SHEEN ACCENT BASE 1L
SUPERCOVER,SUPERCOVER SHEEN,BRILLIANT WHITE,2,DN SUPERCOVER SHEEN BRILLIANT WHITE 10L
TEXTURE,VT VELVETINO,GOLD,1,DN VT VELVETINO GOLD BASE 1L
TEXTURE,VT VELVETINO,SILVER,1,DN VT VELVETINO SILVER BASE 1L
TINTER,BLK,BLACK,1,DN BLK/ TINTER BLACK 1L
TINTER,BU1,,1,DN ACOTONE Tinter BU1 COL_IN-SL 1L
TINTER,BU2,,1,DN ACOTONE Tinter BU2 COL_IN-SL 1L
TINTER,FFR,,1,DN FFR/ TINTER FAST FAST RED 1L
TINTER,GR1,,1,DN ACOTONE Tinter GR1 COL_IN-SL 1L
TINTER,GRN,,1,DN GRN/ TINTER GREEN 1L
TINTER,GVA,BLACK,1,DPP-GVA 126 TINTING BLACK 1L
TINTER,GVA,BLUE,1,DPP-GVA 124 BLUE 1L
TINTER,GVA,BRILLIANT WHITE,1,DPP-GVA 147 WHITE 1L
TINTER,GVA,FAST RED,1,DPP-GVA 322 FAST RED 1L
TINTER,GVA,GREEN,1,DPP-GVA 149 GREEN 1L
TINTER,GVA,ORGANIC LEMON YELLOW,1,DPP- GVA 146 Organic Lemon Yellow 1L
TINTER,GVA,ORGANIC MIDDLE YELLOW,1,DPP-GVA 145 ORGANIC MIDDLE YELLOW 1L
TINTER,GVA,ORGANIC ORANGE,1,DPP-GVA 140 ORGANIC ORANGE 1L
TINTER,GVA,ORGANIC RED VIOLET,1,DPP-GVA 480 ORGANIC RED VIOLET 1L
TINTER,GVA,ORGANIC VIOLET,1,DPP-GVA 142 ORGANIC VIOLET 1L
TINTER,GVA,RED OXIDE,1,DPP-GVA 122 RED OXIDE 1L
TINTER,GVA,YELLOW OXIDE,1,DPP-GVA 127 YELLOW OXIDE 1L
TINTER,LFY,,1,DN LFY/ TINTER LIGHT FAST YELLOW 1LT
TINTER,MA1,,1,DN ACOTONE Tinter MA1 COL_IN-SL 1L
TINTER,MAG,,1,DN MAG / TINTER MAGENTA 1L
TINTER,NO1,,1,DN ACOTONE Tinter NO1 COL_IN-SL 1L
TINTER,NO2,,1,DN ACOTONE Tinter NO2 COL_IN-SL 1L
TINTER,OR1,,1,DN ACOTONE Tinter OR1 COL_IN-SL 1L
TINTER,OXR,,1,DN OXR/ TINTER RED OXIDE 1LT
TINTER,RE1,,1,DN ACOTONE Tinter RE1 COL_IN-SL 1L
TINTER,RE2,,1,DN ACOTONE Tinter RE2 COL_IN-SL 1L
TINTER,TBL,,1,DN TBL/ TINTER PTHALO BLUE 1L
TINTER,WH1,,1,DN ACOTONE Tinter WH1 COL_IN-SL 1L
TINTER,WHT,WHITE,1,DN WHT/ TINTER WHITE 1LT
TINTER,XR1,,1,DN ACOTONE Tinter XR1 COL_IN-SL 1L
TINTER,XY1,,1,DN ACOTONE Tinter XY1 COL_IN-SL 1L
TINTER,YE1,,1,DN ACOTONE Tinter YE1 COL_IN-SL 1L
TINTER,YE2,,1,DN ACOTONE Tinter YE2 COL_IN-SL 1L
TINTER,YOX,YOX,1,DN YOX/ TINTER YELLOW OXIDE 1LT
TOOLS,BRUSH,,2,"DULUX SMART BRUSH DOUBLE 3"""
TOOLS,ROLLER,,4,"DULUX SIGNATURE FOAM INT ROLLER 6"""
VT,AMBIANCE,92 BASE,1,DN AMBIANCE VT INT BASE 4L
VT,AMBIANCE,94 BASE,1,DN AMBIANCE VT ACCENT BASE 4L
VT,DIAMOND GLO,90 BASE,4,DN VT DIAMOND 90 BASE 10L
VT,DIAMOND GLO,92 BASE,6,DN VT DIAMOND 92 BASE 10L
VT,DIAMOND GLO,93 BASE,1,DN VT DIAMOND GLO 93 BASE .925L
VT,DIAMOND GLO,94 BASE,6,DN VT DIAMOND 94 BASE 10L
VT,DIAMOND GLO,95 BASE,3,DN VT DIAMOND GLO NEW DEEP BASE 0.9L
VT,DIAMOND GLO,96 BASE,2,DN VT DIAMOND GLO YELLOW BASE 0.9L
VT,DIAMOND GLO,97 BASE,2,DN VT DIAMOND GLO RED BASE 0.9L
VT,DIAMOND GLO,BRILLIANT WHITE,5,DN VT DIAMOND WHITE 10L
VT,ETERNA,,1,ET ETERNA PU CLEAR 1LT
VT,ETERNA,90 BASE,5,DN VT ETERNA WHITE/90 BASE 10L
VT,ETERNA,92 BASE,5,DN VT ETERNA 92 BASE 0.975L
VT,ETERNA,93 BASE,4,DN VT ETERNA 93 BASE .925L
VT,ETERNA,94 BASE,2,DN VT ETERNA 94 BASE 0.9LTR
VT,ETERNA,BASECOAT,4,DN VT BASECOAT 10L
VT,ETERNA HI-SHEEN,90 BASE,4,Dulux VT Eterna Hi-Sheen 90 base 10L
VT,ETERNA HI-SHEEN,92 BASE,4,Dulux VT Eterna Hi-Sheen 92 base 10L
VT,ETERNA HI-SHEEN,93 BASE,4,Dulux VT Eterna Hi-Sheen 93 base 10L
VT,ETERNA HI-SHEEN,BRILLIANT WHITE,4,Dulux VT Eterna Hi-Sheen White 10L
VT,ETERNA MATT,92 BASE,3,DN VT ETERNA MATT 92 BASE .975L
VT,ETERNA MATT,94 BASE,2,DN VT ETERNA MATT 94 BASE .9L
VT,ETERNA MATT,BRILLIANT WHITE,4,DN VT ETERNA MATT WHT/90 BASE 10L
VT,LUXURY FINISHES,CLAY,3,VT Luxury Finishes - Clay 10KG
VT,LUXURY FINISHES,LIME WASH,4,VT Luxury Finishes - Lime Wash 10L
VT,LUXURY FINISHES,MARMORINO,3,VT Luxury Finishes - Marmorino 10KG
VT,PEARL GLO,,1,DP PEARL RED SE 1L
VT,PEARL GLO,90 BASE,5,DN VT PEARL GLO NEW WHITE BASE 10L
VT,PEARL GLO,92 BASE,5,DN VT PEARL GLO NEW INT BASE 0.9 L
VT,PEARL GLO,93 BASE,2,DN VT PEARL GLO 93 BASE 1L
VT,PEARL GLO,94 BASE,6,DN VT PEARL GLO ACCENT BASE 18L
VT,PEARL GLO,95 BASE,5,DN VT PEARL GLO NEW DEEP BASE 0.9L
VT,PEARL GLO,96 BASE,3,DN VT PEARL GLO NEW YELLOW BASE 0.9L
VT,PEARL GLO,97 BASE,3,DN VT PEARL GLO 97 BASE SAMPLER 200ML
VT,PEARL GLO,BRILLIANT WHITE,4,DN VT PEARL GLO NEW BRIL WHITE 10L
VT,PEARL GLO,PASTEL BASE,2,DN VT PG PASTEL BASE 1LT
VT,PEARL GLO,RARE PEARL COPPER,3,DN VT Rare Pearl Copper Base 10L
VT,PEARL GLO,RARE PEARL GREEN,3,DN VT Rare Pearl Green Base 10L
VT,PLATINUM GLO,90 BASE,4,DN VT PLATINUM GLO WHITE BASE 10L
VT,PLATINUM GLO,92 BASE,4,DN VT PLATINUM GLO NEW INT BASE 0.975L
VT,PLATINUM GLO,93 BASE,2,DN VT PLATINUM GLO 93 BASE .925L
VT,PLATINUM GLO,94 BASE,3,DN VT PLATINUM GLO ACCENT BASE 10L
VT,PLATINUM GLO,95 BASE,2,DN VT PLATINUM GLO DEEP BASE 0.9L
VT,PLATINUM GLO,96 BASE,2,DN VT PLATINUM GLO YELLOW BASE 0.9L
VT,PLATINUM GLO,97 BASE,2,DN VT PLATINUM GLO RED BASE 0.9L
VT,PLATINUM GLO,BRILLIANT WHITE,4,DN VT PLATINUM GLO WHITE  1L
VT,VAF,,3,DN VAF METALLIC - GOLD 1L
VT,VT CLEAR COAT,,1,DN VT CLEAR COAT MATT 1L
VT,VT CONCRETE FINISH,,4,DN VT Concrete Finish 10kg
VT,VT FIN,,1,DN VT FIN 1L
VT,VT FIN,GOLD,2,DN VT FIN Gold 1LTR
VT,VT FIN,SILVER,2,DN VT FIN Silver 1LTR
VT,VT MARBLE,,1,DN VT Marble 5kg
VT,VT METALLICS,GOLD,1,VT Metallics gold 200ML
VT,VT METALLICS,SILVER,1,VT Metallics Silver 200ML
WEATHERCOAT,MAX,93 BASE,2,DN WS MAX 10YR 93 BASE 1L
WEATHERCOAT,MAX,94 BASE,2,DN WS MAX ACCENT BASE 0.9L
WEATHERCOAT,MAX,95 BASE,4,DN WS MAX 10YR 95 BASE 10L
WEATHERCOAT,MAX,96 BASE,1,DN WS MAX 10YR 96 BASE 4L
WEATHERCOAT,MAX,97 BASE,3,DN WS MAX 10YR 97 BASE 10L
WEATHERCOAT,MAX,98 BASE,4,DN WS MAX 10YR 98 BASE 10L
WEATHERCOAT,MAX,BRILLIANT WHITE,5,DN WS MAX 10YR BR WHITE 10L
WEATHERCOAT,MAX,ROX,1,DN WS MAX ROX 0.9LT
WEATHERCOAT,MAX,YELLOW BASE,1,DN WS MAX YOX 18L
WEATHERCOAT,POWERFLEXX,90 BASE,4,DN WS PF 15YR 90 BASE 10L
WEATHERCOAT,POWERFLEXX,92 BASE,5,DN WS PF 15YR 92 BASE 10L
WEATHERCOAT,POWERFLEXX,93 BASE,1,DN WS PF 15YR 93 BASE 4L
WEATHERCOAT,POWERFLEXX,94 BASE,4,DN WS PF 15YR 94 BASE 10L
WEATHERCOAT,POWERFLEXX,95 BASE,2,DN WS PF 15YR 95 BASE 1L
WEATHERCOAT,POWERFLEXX,96 BASE,3,DN WS PF 15YR 96 BASE 1L
WEATHERCOAT,POWERFLEXX,97 BASE,4,DN WS PF 15YR 97 BASE 10L
WEATHERCOAT,POWERFLEXX,BRILLIANT WHITE,4,DN WS PF 15YR BR WHITE 10L
WEATHERCOAT,PROTECT,,1,DN WS CLEAR 20LT
WEATHERCOAT,PROTECT,92 BASE,3,DN WS INTERMEDIATE BASE 200ML
WEATHERCOAT,PROTECT,94 BASE,3,DN WS  PROTECT DUSTPROOF 94 BASE 0.9LTR
WEATHERCOAT,PROTECT,95 BASE,2,DN WS PROTECT DEEP BASE 0.9L
WEATHERCOAT,PROTECT,97 BASE,1,DN WS  PROTECT DUSTPROOF 97 BASE 18L
WEATHERCOAT,PROTECT,98 BASE,1,DN WS  PROTECT DUSTPROOF 98 BASE 3.6L
WEATHERCOAT,PROTECT,ROX,2,DN WS PROTECT ROX 3.6L
WEATHERCOAT,PROTECT,YELLOW BASE,6,DN WS PROTECT VIBRANT YELLOW BASE 0.9L
WEATHERCOAT,PROTECT RAINPROOF,90 BASE,4,DN WS RP 8YR 90 BASE 10L
WEATHERCOAT,PROTECT RAINPROOF,92 BASE,3,DN WS RP 8YR 92 BASE 1L
WEATHERCOAT,PROTECT RAINPROOF,93 BASE,1,DN WS PROTECT RAINPROOF 93 BASE 0.925L
WEATHERCOAT,PROTECT RAINPROOF,BRILLIANT WHITE,1,DN WS RP 8YR BR WHITE 20L
WEATHERCOAT,TEXTURE,92 BASE,1,DN WS TEX MATT INTERMEDIATE BAS 18L
WEATHERCOAT,TEXTURE,BLACK,1,PS WS CREATION STNTEX ST127 BLACK 30 KG
WEATHERCOAT,TEXTURE,BRILLIANT WHITE,1,DN WS TEX MATT WHITE BASE 18L
WEATHERCOAT,WS ELASTOMERIC,92 BASE,1,WS PU ELASTOMERIC INT BASE(92) 20LTR
WEATHERCOAT,WS ELASTOMERIC,94 BASE,1,WS PU ELASTOMERIC ACCENT BASE(94) 20LTR
WEATHERCOAT,WS ELASTOMERIC,95 BASE,1,WS PU ELASTOMERIC DEEP BASE(95) 20LTR
WEATHERCOAT,WS ELASTOMERIC,97 BASE,1,WS PU ELASTOMERIC ROX BASE(97) 20LTR
WEATHERCOAT,WS ELASTOMERIC,BRILLIANT WHITE,2,WS PU ELASTOMERIC BRL WHITE 20LTR
WEATHERCOAT,WS FLASH,92 BASE,1,DN WS FLASH INTERMEDIATE BASE 18L
WEATHERCOAT,WS FLASH,BRILLIANT WHITE,2,DN WS FLASH BRILLIANT WHITE 10L
WEATHERCOAT,WS PRIMA E900,90 BASE,1,WS PRIMA E900 90 BAS 1 LTR SMPLR
WEATHERCOAT,WS PRIMA E900,92 BASE,2,WS PRIMA E900 92 BAS 1 LTR SMPLR
WEATHERCOAT,WS PRIMA E900,93 BASE,1,WS PRIMA E900 93 BASE 0.925L
WEATHERCOAT,WS PRIMA E900,94 BASE,2,WS PRIMA E900 94 BASE 0.9L
WEATHERCOAT,WS PRIMA E900,97 BASE,1,WS PRIMA E900 ROX(97) 20L
WEATHERCOAT,WS PRIMA E900,BRILLIANT WHITE,3,WS PRIMA E900 BRILLIANT WHITE 20L
WEATHERCOAT,WS PROJECT,92 BASE,1,DN WS PROJ INTERMEDIATE BASE 18LT
WEATHERCOAT,WS PROJECT,94 BASE,1,DN WS PROJ ACCENT BASE 18LT
WEATHERCOAT,WS PROJECT,BRILLIANT WHITE,2,DN WS PROJ BRILLIANT WHITE 20LT
WEATHERCOAT,WS PROJECT,ROX,1,DN WS PROJ RED BASE 18LT
WEATHERCOAT,WS PROJECT,YELLOW BASE,1,DN WS PROJ YELLOW BASE 18LT
WEATHERCOAT,WS TR E2000,90 BASE,1,WS TR E2000 90 BASE 20L
WEATHERCOAT,WS TR E2000,92 BASE,1,WS TR E2000 92 BASE 20LTR
WEATHERCOAT,WS TR E2000,93 BASE,1,WS TR E2000 93 BASE 20L
WEATHERCOAT,WS TR E2000,BRILLIANT WHITE,1,WS TR E2000 BRILLIANT WHITE 20L
WEATHERCOAT,WS ULTRACLEAN,92 BASE,1,DNWS ULTRACLEAN HIGHSHEEN INTRMDT BA18L
WS,HISHEEN,90 BASE,4,DN WS  Protect Dust Hi-Sheen 90 10L
WS,HISHEEN,92 BASE,4,DN WS  Protect Dust Hi-Sheen92 10L
WS,HISHEEN,93 BASE,4,DN WS  Protect Dust Hi-Sheen93 10L
WS,HISHEEN,BRILLIANT WHITE,4,DN WS  Protect Dust Hi-SheenBr.White 10L
WS,MAX,90 BASE,6,DN WS MAX 10YR 90 BASE 10L
WS,MAX,92 BASE,8,DN WS Max 10yr 92 Base 10L
WS,MAX,93 BASE,3,DN WS MAX 93 BASE 0.925L
WS,MAX,94 BASE,4,DN WS MAX 10YR 94 BASE 10L
WS,MAX,95 BASE,4,DN WS MAX 10YR 95 BASE 1L
WS,MAX,96 BASE,4,DN WS MAX 10YR 96 BASE 10L
WS,MAX,97 BASE,5,DN WS Max 10yr 97 Base 20L
WS,MAX,98 BASE,4,DN WS MAX 98 VIBRANT YELLOW BASE 1L
WS,MAX,BRILLIANT WHITE,4,DN WS MAX 10YR BR WHITE 20L
WS,MAX,PASTEL BASE,3,DN WS MAX PASTEL BASE 10LT
WS,MAX,RED OXIDE,3,DN WS MAX ROX 10L
WS,MAX,YELLOW OXIDE,2,DN WS MAX YOX 18L
WS,POWERFLEXX,90 BASE,4,DN WS POWERFLEXX 90 BASE 1L
WS,POWERFLEXX,92 BASE,4,DN WS POWERFLEXX 92 BASE 0.9L
WS,POWERFLEXX,93 BASE,3,DN WS POWERFLEXX 93 BASE 0.925L
WS,POWERFLEXX,94 BASE,4,DN WS POWERFLEXX 94 BASE 0.9L
WS,POWERFLEXX,95 BASE,4,DN WS POWERFLEXX 95 BASE 0.9L
WS,POWERFLEXX,96 BASE,4,DN WS Powerflexx 96 Base 0.9L
WS,POWERFLEXX,97 BASE,4,DN WS POWERFLEXX 97 BASE 0.9L
WS,POWERFLEXX,98 BASE,4,DN WS POWERFLEXX 98 BASE 0.9L
WS,POWERFLEXX,BRILLIANT WHITE,4,DN WS POWERFLEXX WHITE 10L
WS,PROTECT,90 BASE,4,DN WS  PROTECT DUSTPROOF 90 BASE 10L
WS,PROTECT,92 BASE,4,DN WS  PROTECT DUSTPROOF 92 BASE 0.9LTR
WS,PROTECT,93 BASE,4,DN WS  PROTECT DUSTPROOF 93 BASE 0.9LTR
WS,PROTECT,94 BASE,4,DN WS  PROTECT DUSTPROOF 94 BASE 0.9LTR
WS,PROTECT,95 BASE,4,DN WS  PROTECT DUSTPROOF 95 BASE 18L
WS,PROTECT,96 BASE,4,DN WS  PROTECT DUSTPROOF 96 BASE 0.9L
WS,PROTECT,97 BASE,3,DN WS  PROTECT DUSTPROOF 97 BASE 0.9L
WS,PROTECT,98 BASE,4,DN WS  PROTECT DUSTPROOF 98 BASE 0.9L
WS,PROTECT,BRILLIANT WHITE,4,DN WS  PROTECT DUSTPROOF BR.WHITE 10L
WS,PROTECT,ELECTRIC BLUE PLUS,2,DN WS PROTECT ELECTRIC BLUE PLUS 1L
WS,PROTECT,PO RED,2,DN WS PROTECT PO RED 1L
WS,PROTECT,RED OXIDE,2,DN WS PROTECT ROX .9L
WS,PROTECT,SIGNAL RED,2,DN WS PROTECT SIGNAL RED  1L
WS,PROTECT,SUNRISE,2,DN WS PROTECT SUNRISE  1L
WS,PROTECT,TERACOTTA,2,DN WS PROTECT TERACOTTA  1L
WS,PROTECT,YELLOW OXIDE,3,DN WS PROTECT YOX 0.9L
WS,PROTECT RAINPROOF,90 BASE,4,DN WS PROTECT RAINPROOF WHITE BASE 10L
WS,PROTECT RAINPROOF,92 BASE,4,DN WS PROTECT RAINPROOF 92 BASE 0.9L
WS,PROTECT RAINPROOF,93 BASE,3,DN WS PROTECT RAINPROOF 93 BASE 18.5L
WS,PROTECT RAINPROOF,94 BASE,4,DN WS PROTECT RAINPROOF ACCENT BASE 0.9L
WS,PROTECT RAINPROOF,95 BASE,4,DN WS PROTECT RAINPROOF DEEP BASE 0.9L
WS,PROTECT RAINPROOF,96 BASE,4,DN WS PROTECT RAINPROOF YOX 0.9L
WS,PROTECT RAINPROOF,97 BASE,4,DN WS PROTECT RAINPROOF ROX BASE 0.9L
WS,PROTECT RAINPROOF,BRILLIANT WHITE,4,DN WS PROTECT RAINPROOF BR WHITE 10L
WS,TEXTURE,90 BASE,1,DN WS Texture Rustic 90 25kg Retail
WS,TEXTURE,94 BASE,1,DN WS Texture Rustic 94 25Kg Retail
WS,TILE,,4,DN WS TILE BASE .9 L
WS,TILE,YELLOW BASE,4,DN WS TILE YELLOW BASE .9 L
