category,product,baseColour,sku_count,example_description
DULUX,SMOOTHOVER,,1,DN SMOOTHOVER 15L
DULUX,SUPERCLEAN,90 BASE,1,DN SUPERCLEAN WHT 90 BASE 1L
DULUX,SUPERCLEAN,92 BASE,4,DN SUPERCLEAN INT 92 BASE 10L
DULUX,SUPERCLEAN,93 BASE,2,DN SUPERCLEAN NEW 93 BASE 10L
DULUX,SUPERCLEAN,94 BASE,5,DN SUPERCLEAN ACCENT 94 BASE 10L
DULUX,SUPERCLEAN,95 BASE,3,DN SUPERCLEAN DEEP 95 BASE 1L
DULUX,SUPERCLEAN,96 BASE,2,DN SUPERCLEAN NEW 96 BASE 1L
DULUX,SUPERCLEAN,97 BASE,2,DN SUPERCLEAN NEW 97 BASE 4L
DULUX,SUPERCLEAN,BRILLIANT WHITE,2,DN SUPERCLEAN BRILLIANT WHITE 1L
DULUX,SUPERCOVER,92 BASE,1,DN SUPERCOVER INTERMEDIATE BASE 1L
DULUX,SUPERCOVER,YELLOW BASE,2,DN SUPERCOVER YELLOW BASE 1L
DUWEL,DUWEL ACRYLIC DISTEMPER,,3,IP DUWEL ACR DIST 10KG
DUWEL,DUWEL ENAMEL,PHIROZA BLUE,1,IP DUWEL ENAMEL PHIROZA BLUE 4L
DUWEL,DUWEL FARCO WHITE PRIMER,,4,IP ICI DUWEL FARCO WHITE PRIMER 10L
DUWEL,DUWEL INTERIOR ACRYLIC PRIMER,,5,DUWEL INTERIOR ACRYLIC PRIMER 10L
DUWEL,DUWEL MAGIK,90 BASE,5,IP DUWEL MAGIK WHITE BASE 10KG
DUWEL,DUWEL MAGIK,BRILLIANT WHITE,7,IP DUWEL MAGIK WHITE 10KG
DUWEL,DUWEL POLYPUTTY,,3,DN POLYPUTTY 40KG
DUWEL,DUWEL RED OXIDE METAL PRIMER,,2,IP DUWEL RED OXIDE METAL PRIMER 10LT
DUWEL,DUWEL WB CEMENT PRIMER,,2,IP DUWEL WB CEMENT PRIMER 1 LT
DUWEL,DUWEL WOOD PRIMER,BRILLIANT WHITE,5,IP DUWEL WOOD PRIMER (WHITE) 10LT
DUWEL,DUWEL WOOD PRIMER,PINK,3,IP DUWEL WOOD PRIMER (PINK) 1LT
DUWEL,ICI DUWEL SB CEMENT PRIMER,,1,ICI DUWEL SB CEMENT PRIMER 20L
DUWEL,IP DUWEL SB CEMENT PRIMER,,1,IP DUWEL SB CEMENT PRIMER 20L
