proposedFamily,proposedTab,tabSeq,proposedBrandLine,brandSeq,proposedProduct,proposedBase,proposedDisplayName,proposedSearchTokens,material,description,pack,isPrimary,currentHydration,note
SADOLIN,Sealer,3,HYDRO PU,3,HYDRO PU SEALER,Clear,Hydro PU Sealer - Clear,"HYDRO PU SEALER,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,CLEAR,INTERIOR",5746641,DN SADOLIN HYDRO PU CLR SEALER 4L,4L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Sealer,3,PU PRIME,4,PU PRIME SEALER,Clear,Pu Prime Sealer - Clear,"PU PRIME SEALER,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826251,DN SADOLIN PU PRIME CLEAR SEALER 1L,1L,true,POOLED,
SADOLIN,Sealer,3,PU PRIME,4,PU PRIME SEALER,Clear,Pu Prime Sealer - Clear,"PU PRIME SEALER,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826252,DN SADOLIN PU PRIME CLEAR SEALER 4L,4L,true,POOLED,
SADOLIN,Sealer,3,PU PRIME,4,PU PRIME SEALER,Clear,Pu Prime Sealer - Clear,"PU PRIME SEALER,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826253,DN SADOLIN PU PRIME CLEAR SEALER 20L,20L,true,POOLED,
SADOLIN,Sealer,3,PU PRIME,4,PU PRIME SEALER,White,Pu Prime Sealer - White,"PU PRIME SEALER,PUPRIME,SADOLIN,WOODCARE,WHITE",5826254,DN SADOLIN PU PRIME WHITE SEALER 1L,1L,true,POOLED,
SADOLIN,Sealer,3,PU PRIME,4,PU PRIME SEALER,White,Pu Prime Sealer - White,"PU PRIME SEALER,PUPRIME,SADOLIN,WOODCARE,WHITE",5826255,DN SADOLIN PU PRIME WHITE SEALER 4L,4L,true,POOLED,
SADOLIN,Sealer,3,PU PRIME,4,PU PRIME SEALER,White,Pu Prime Sealer - White,"PU PRIME SEALER,PUPRIME,SADOLIN,WOODCARE,WHITE",5826256,DN SADOLIN PU PRIME WHITE SEALER 20L,20L,true,POOLED,
SADOLIN,Sealer,3,LUXURIO,5,LUXURIO SEALER,Clear,Luxurio Sealer - Clear,"LUXURIO SEALER,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600810,DN SADOLIN LUXURIO PU SEALER 1L,1L,true,POOLED,
SADOLIN,Sealer,3,LUXURIO,5,LUXURIO SEALER,Clear,Luxurio Sealer - Clear,"LUXURIO SEALER,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600813,DN SADOLIN LUXURIO PU SEALER 4L,4L,true,POOLED,
SADOLIN,Sealer,3,LUXURIO,5,LUXURIO SEALER,Clear,Luxurio Sealer - Clear,"LUXURIO SEALER,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600816,DN SADOLIN LUXURIO PU SEALER 30L,30L,true,POOLED,
SADOLIN,Sealer,3,LUXURIO,5,LUXURIO SEALER,White,Luxurio Sealer - White,"LUXURIO SEALER,LUXURIO,SADOLIN,WOODCARE,WHITE",5794056,DN SADOLIN LUXURIO PU SEALER WHITE 1L,1L,true,POOLED,
SADOLIN,Sealer,3,LUXURIO,5,LUXURIO SEALER,White,Luxurio Sealer - White,"LUXURIO SEALER,LUXURIO,SADOLIN,WOODCARE,WHITE",5794057,DN SADOLIN LUXURIO PU SEALER WHITE 4L,4L,true,POOLED,
SADOLIN,Sealer,3,LUXURIO,5,LUXURIO SEALER,White,Luxurio Sealer - White,"LUXURIO SEALER,LUXURIO,SADOLIN,WOODCARE,WHITE",5794058,DN SADOLIN LUXURIO PU SEALER WHITE 30L,30L,true,POOLED,
SADOLIN,Sealer,3,MELAMINE,6,MELAMINE SEALER,Clear,Melamine Sealer - Clear,"MELAMINE SEALER,SADOLIN,WOODCARE",IN35200471,DN SADOLIN INT CLR MELAMINE SEALER 4L,4L,true,OK,
SADOLIN,Sealer,3,MELAMINE,6,MELAMINE SEALER,Clear,Melamine Sealer - Clear,"MELAMINE SEALER,SADOLIN,WOODCARE",IN35200472,DN SADOLIN INT CLR MELAMINE SEALER 1L,1L,true,OK,
SADOLIN,Sealer,3,MELAMINE,6,MELAMINE SEALER,Clear,Melamine Sealer - Clear,"MELAMINE SEALER,SADOLIN,WOODCARE",IN35200481,DN SADOLIN INT CLR MELAMINE SEALER 20L,20L,true,OK,
SADOLIN,Sealer,3,NC,7,NC SANDING SEALER,,NC Sanding Sealer,"NC SANDING SEALER,SADOLIN",IN10300571,DN SADOLIN NC SANDING SEALER 4L,4L,true,OK,
SADOLIN,Sealer,3,NC,7,NC SANDING SEALER,,NC Sanding Sealer,"NC SANDING SEALER,SADOLIN",IN10300572,DN SADOLIN NC SANDING SEALER 1L,1L,true,OK,
SADOLIN,Sealer,3,NC,7,NC SANDING SEALER,,NC Sanding Sealer,"NC SANDING SEALER,SADOLIN",IN10300573,DN SADOLIN NC SANDING SEALER 500ML,500ML,true,OK,
SADOLIN,Sealer,3,NC,7,NC SANDING SEALER,,NC Sanding Sealer,"NC SANDING SEALER,SADOLIN",IN10300581,DN SADOLIN NC SANDING SEALER 20L,20L,true,OK,
SADOLIN,Thinner,4,2K PU,2,2K PU THINNER,,2K Pu Thinner,"2K PU THINNER,SADOLIN,WOODCARE",IN35521429,DN SADOLIN 2KPU THINNER 3L,3L,true,HIDDEN,FIX 3L needs desktop bucket
SADOLIN,Thinner,4,2K PU,2,2K PU THINNER,,2K Pu Thinner,"2K PU THINNER,SADOLIN,WOODCARE",IN35521472,DN SADOLIN 2KPU THINNER 1L,1L,true,OK,
SADOLIN,Thinner,4,2K PU,2,2K PU THINNER,,2K Pu Thinner,"2K PU THINNER,SADOLIN,WOODCARE",IN35521481,DN SADOLIN 2KPU THINNER 20L,20L,true,OK,
SADOLIN,Thinner,4,PU PRIME,4,PU PRIME THINNER,,Pu Prime Thinner,"PU PRIME THINNER,SADOLIN,WOODCARE",5826259,DN SADOLIN PU PRIME THINNER 1L,1L,true,OK,
SADOLIN,Thinner,4,PU PRIME,4,PU PRIME THINNER,,Pu Prime Thinner,"PU PRIME THINNER,SADOLIN,WOODCARE",5826260,DN SADOLIN PU PRIME THINNER 5L,5L,true,OK,
SADOLIN,Thinner,4,PU PRIME,4,PU PRIME THINNER,,Pu Prime Thinner,"PU PRIME THINNER,SADOLIN,WOODCARE",5826261,DN SADOLIN PU PRIME THINNER 20L,20L,true,OK,
SADOLIN,Thinner,4,MELAMINE,6,MELAMINE THINNER,,Melamine Thinner,"MELAMINE THINNER,SADOLIN",IN61203872,DN SADOLIN MELAMINE THINNER 1L,1L,true,OK,
SADOLIN,Thinner,4,MELAMINE,6,MELAMINE THINNER,,Melamine Thinner,"MELAMINE THINNER,SADOLIN",IN61203876,DN SADOLIN MELAMINE THINNER 5L,5L,true,OK,
SADOLIN,Thinner,4,MELAMINE,6,MELAMINE THINNER,,Melamine Thinner,"MELAMINE THINNER,SADOLIN",IN61203881,DN SADOLIN MELAMINE THINNER 20L,20L,true,OK,
SADOLIN,Thinner,4,NC,7,NC NECOL THINNER,,NC Necol Thinner,"NC NECOL THINNER,NECOL,SADOLIN",IN60904272,NC NECOL  THINNER 1L,1L,true,OK,
SADOLIN,Thinner,4,NC,7,NC NECOL THINNER,,NC Necol Thinner,"NC NECOL THINNER,NECOL,SADOLIN",IN60904276,NC NECOL  THINNER 5L,5L,true,OK,
SADOLIN,Thinner,4,NC,7,NC NECOL THINNER,,NC Necol Thinner,"NC NECOL THINNER,NECOL,SADOLIN",IN60904281,NC NECOL  THINNER 20L,20L,true,OK,
SADOLIN,Thinner,4,NC,7,NC WOOD THINNER,,NC Wood Thinner,"NC WOOD THINNER,SADOLIN",IN10120071,DN SADOLIN NC WOOD THINNER 4L,4L,true,OK,
SADOLIN,Thinner,4,NC,7,NC WOOD THINNER,,NC Wood Thinner,"NC WOOD THINNER,SADOLIN",IN10120072,DN SADOLIN NC WOOD THINNER 1L,1L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC CLEAR LACQUER,Clear,NC Clear Lacquer,"NC LACQUER,NITROCELLULOSE,SADOLIN",IN01300571,DN SADOLIN NC CLEAR LACQUER 4L,4L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC CLEAR LACQUER,Clear,NC Clear Lacquer,"NC LACQUER,NITROCELLULOSE,SADOLIN",IN01300572,DN SADOLIN NC CLEAR LACQUER 1L,1L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC CLEAR LACQUER,Clear,NC Clear Lacquer,"NC LACQUER,NITROCELLULOSE,SADOLIN",IN01300573,DN SADOLIN NC CLEAR LACQUER 500ML,500ML,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC NECOL,Black,NC Necol - Black,"NC NECOL,NECOL,SADOLIN",IN08100772,NC NECOL BLACK 1L,1L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC NECOL,White,NC Necol - White,"NC NECOL,NECOL,SADOLIN",IN08100671,NC NECOL WHITE 4L,4L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC NECOL,White,NC Necol - White,"NC NECOL,NECOL,SADOLIN",IN08100672,NC NECOL WHITE 1L,1L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC NECOL CLEAR,Clear,NC Necol Clear,"NC NECOL CLEAR,NECOL,SADOLIN",IN01033071,NC NECOL NC CLEAR 4LT,4L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC NECOL CLEAR,Clear,NC Necol Clear,"NC NECOL CLEAR,NECOL,SADOLIN",IN01033072,NC NECOL NC CLEAR 1L,1L,true,OK,
SADOLIN,Lacquer / Varnish,5,NC,7,NC OPAQUE,White,NC Opaque,"NC OPAQUE,SADOLIN",IN03320171,DN SADOLIN NC OPAQUE FINISH 4L,4L,true,OK,
SADOLIN,Lacquer / Varnish,5,Synthetic,8,SYNTHETIC VARNISH,Clear,Synthetic Varnish,"SYNTHETIC VARNISH,SADOLIN,WOODCARE,CLEAR",IN20109171,DN SADOLIN SYNTHETIC CLEAR VARNISH 4L,4L,true,OK,
SADOLIN,Lacquer / Varnish,5,Synthetic,8,SYNTHETIC VARNISH,Clear,Synthetic Varnish,"SYNTHETIC VARNISH,SADOLIN,WOODCARE,CLEAR",IN20109172,DN SADOLIN SYNTHETIC CLEAR VARNISH 1L,1L,true,OK,
SADOLIN,Lacquer / Varnish,5,Synthetic,8,SYNTHETIC VARNISH,Clear,Synthetic Varnish,"SYNTHETIC VARNISH,SADOLIN,WOODCARE,CLEAR",IN20109173,DN SADOLIN SYNTHETIC CLEAR VARNISH 500ML,500ML,true,HIDDEN,FIX unit L->ML (500ML)
SADOLIN,Lacquer / Varnish,5,Synthetic,8,SYNTHETIC VARNISH,Clear,Synthetic Varnish,"SYNTHETIC VARNISH,SADOLIN,WOODCARE,CLEAR",IN20109181,DN SADOLIN SYNTHETIC CLEAR VARNISH 20L,20L,true,OK,
SADOLIN,Filler / Stain,6,WOOD FILLER,9,WOOD FILLER,Teak,Wood Filler - Teak,"WOOD FILLER,SADOLIN,TEAK",IN35203103,DN SADOLIN WOOD FILLER TEAK 1KG,1KG,true,OK,
SADOLIN,Filler / Stain,6,WOOD FILLER,9,WOOD FILLER,Walnut,Wood Filler - Walnut,"WOOD FILLER,SADOLIN,WALNUT",IN35203202,DN SADOLIN WOOD FILLER WALNUT 500G,500GM,true,OK,
SADOLIN,Filler / Stain,6,WOOD FILLER,9,WOOD FILLER,Walnut,Wood Filler - Walnut,"WOOD FILLER,SADOLIN,WALNUT",IN35203203,DN SADOLIN WOOD FILLER WALNUT 1KG,1L,true,HIDDEN,FIX pack 1L->1KG
SADOLIN,Filler / Stain,6,WOOD FILLER,9,WOOD FILLER,White,Wood Filler - White,"WOOD FILLER,SADOLIN,WHITE",IN35202003,DN SADOLIN WOOD FILLER WHITE 1KG,1KG,true,OK,DUP White 1KG - keep one primary
SADOLIN,Filler / Stain,6,WOOD FILLER,9,WOOD FILLER,White,Wood Filler - White,"WOOD FILLER,SADOLIN,WHITE",IN35203003,DN SADOLIN WOOD FILLER WHITE 1KG,1KG,true,OK,DUP White 1KG - keep one primary
SADOLIN,Filler / Stain,6,WOOD STAIN,10,WOOD STAIN,Charcoal,Wood Stain - Charcoal,"WOOD STAIN,SADOLIN,CHARCOAL",IN35202298,DN SADOLIN WOOD STAIN CHARCOAL 100ML,100ML,true,OK,
SADOLIN,Filler / Stain,6,WOOD STAIN,10,WOOD STAIN,Rosewood,Wood Stain - Rosewood,"WOOD STAIN,SADOLIN,ROSEWOOD",IN35202672,DN SADOLIN WOOD STAIN ROSEWOOD 1L,1L,true,OK,
SADOLIN,Filler / Stain,6,WOOD STAIN,10,WOOD STAIN,Teak,Wood Stain - Teak,"WOOD STAIN,SADOLIN,TEAK",IN35202472,DN SADOLIN WOOD STAIN TEAK 1L,1L,true,OK,
SADOLIN,Filler / Stain,6,WOOD STAIN,10,WOOD STAIN,Walnut,Wood Stain - Walnut,"WOOD STAIN,SADOLIN,WALNUT",IN35202173,DN SADOLIN WOOD STAIN WALNUT 500ML,500ML,true,OK,
