proposedFamily,proposedTab,tabSeq,proposedBrandLine,brandSeq,proposedProduct,proposedBase,proposedDisplayName,proposedSearchTokens,material,description,pack,isPrimary,currentHydration,note
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,90 Base,Pu Prime Gloss - 90 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841326,DN SADOLIN PU PRIME 90 BASE GLOSS 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,90 Base,Pu Prime Gloss - 90 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841327,DPP-SADOLIN PU PRIME GLOSS BAS 90 WHT 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,90 Base,Pu Prime Gloss - 90 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841498,DN SADOLIN PU PRIME 90 BASE GLOSS 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,93 Base,Pu Prime Gloss - 93 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,93 BASE",5841502,DN SADOLIN PU PRIME 93 BASE GLOSS 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,93 Base,Pu Prime Gloss - 93 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,93 BASE",5841503,DN SADOLIN PU PRIME GLOSS 93 BASE 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,93 Base,Pu Prime Gloss - 93 Base,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,93 BASE",5841504,DN SADOLIN PU PRIME 93 BASE GLOSS 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,Clear,Pu Prime Gloss - Clear,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826209,DN SADOLIN PU PRIME CLEAR GLOSS 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,Clear,Pu Prime Gloss - Clear,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826210,DN SADOLIN PU PRIME CLEAR GLOSS 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,Clear,Pu Prime Gloss - Clear,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826211,DN SADOLIN PU PRIME CLEAR GLOSS 20L,20L,true,CROSS-LINK,
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,White,Pu Prime Gloss - White,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,WHITE",5826215,DN SADOLIN PU PRIME WHITE GLOSS 1L,1L,true,CROSS-LINK,
