Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size,Map To Product
94 BASE,1L,1L,5883592,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL ACCENT BASE 0.9L,6,PU ENAMEL
94 BASE,4L,4L,5883594,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL ACCENT BASE 3.6L,4,PU ENAMEL
BLACK,500ML,500ML,5802253,Yes,,currently under GLOSS,Yes,DN PU ENAMEL BLACK 500ML,12,PU ENAMEL
BLACK,1L,1L,5802254,Yes,,currently under GLOSS,Yes,DN PU ENAMEL BLACK 1L,6,PU ENAMEL
BLACK,4L,4L,5802255,Yes,,currently under GLOSS,Yes,DN PU ENAMEL BLACK 4L,4,PU ENAMEL
BLACK,20L,20L,5802256,Yes,,currently under GLOSS,Yes,DN PU ENAMEL BLACK 20L,,PU ENAMEL
BRILLIANT WHITE,500ML,500ML,5802249,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL WHITE 500ML,12,PU ENAMEL
BRILLIANT WHITE,1L,1L,5802250,No,KEEP,currently under GLOSS,No,DN PU ENAMEL WHITE 1L,6,PU ENAMEL
BRILLIANT WHITE,4L,4L,5802251,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL WHITE 4L,4,PU ENAMEL
BRILLIANT WHITE,20L,20L,5802252,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL WHITE 20L,,PU ENAMEL
DARK BROWN,500ML,500ML,5802261,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL DARK BROWN 500ML,12,PU ENAMEL
DARK BROWN,1L,1L,5802262,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL DARK BROWN 1L,6,PU ENAMEL
DARK BROWN,4L,4L,5802263,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL DARK BROWN 4L,4,PU ENAMEL
DARK BROWN,20L,20L,5802264,Yes,,currently under GLOSS,Yes,DN PU ENAMEL DARK BROWN 20L,,PU ENAMEL
GOLDEN BROWN,500ML,500ML,5802265,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL GOLDEN BROWN 500ML,12,PU ENAMEL
GOLDEN BROWN,1L,1L,5802266,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL GOLDEN BROWN 1L,6,PU ENAMEL
GOLDEN BROWN,4L,4L,5802267,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL GOLDEN BROWN 4L,4,PU ENAMEL
GOLDEN BROWN,20L,20L,5802268,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL GOLDEN BROWN 20L,,PU ENAMEL
PHIROZA,500ML,500ML,5827852,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL PHIROZA 500ML,12,PU ENAMEL
PHIROZA,1L,1L,5827853,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL PHIROZA 1L,6,PU ENAMEL
PHIROZA,4L,4L,5827854,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL PHIROZA 4L,4,PU ENAMEL
PHIROZA,20L,20L,5827856,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL PHIROZA 20L,,PU ENAMEL
SMOKE GREY,500ML,500ML,5802257,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL SMOKE GREY 500ML,12,PU ENAMEL
SMOKE GREY,1L,1L,5802258,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL SMOKE GREY 1L,6,PU ENAMEL
SMOKE GREY,4L,4L,5802259,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL SMOKE GREY 4L,4,PU ENAMEL
SMOKE GREY,20L,20L,5802260,Yes,KEEP,currently under GLOSS,Yes,DN PU ENAMEL SMOKE GREY 20L,,PU ENAMEL
