areaId,areaName,deliveryTypeName,routeId,routeName,activeFlag
198,Kathodra Road,Local,8,Varachha,true
199,Bedkipada,Upcountry,15,Vyara,true
200,Mahuwa,Upcountry,14,Bardoli,true
201,Ubhrat,Upcountry,11,Navsari,true
202,Mandvi,Upcountry,14,Bardoli,true
203,Khadsad,Upcountry,8,Varachha,true
204,Mangrol,Upcountry,17,Bharuch,true
205,VANESA,Upcountry,14,Bardoli,true
206,Maroli,Upcountry,11,Navsari,true
207,Buhari,Upcountry,14,Bardoli,true
208,Tukwada,Upcountry,12,Vapi,true
209,Khalal,Upcountry,22,Transport,true
210,Mota Pondha,Upcountry,12,Vapi,true
211,Mota Varachha,Local,8,Varachha,true
212,Moti Valzar,Upcountry,13,Vansda,true
213,Mumbai,Cross,18,IGT / CROSS,true
214,PATNA-BIHAR,Cross,18,IGT / CROSS,true
215,Wadala,Cross,18,IGT / CROSS,true
216,Nana Pondha,Upcountry,12,Vapi,true
217,Nana Varachha,Local,8,Varachha,true
218,Mugali Sara,Local,9,Adajan,true
219,Nanded,Cross,18,IGT / CROSS,true
220,Dungri,Upcountry,12,Vapi,true
221,Nani Daman,Upcountry,12,Vapi,true
222,Nanpura,Local,9,Adajan,true
223,Dahej,Upcountry,17,Bharuch,true
224,Nashik,Cross,18,IGT / CROSS,true
225,Navsari,Upcountry,11,Navsari,true
226,Morabhagal,Local,9,Adajan,true
227,Navsari Bazar,Local,9,Adajan,true
228,Masma,Upcountry,9,Adajan,true
229,Netrang,Upcountry,19,Kamrej,true
230,New Civil Road,Local,9,Adajan,true
231,New Varachha Road,Local,8,Varachha,true
232,Alang,Cross,18,IGT / CROSS,true
233,Nizar,Upcountry,14,Bardoli,true
234,Panera,Upcountry,12,Vapi,true
235,North Goa,Cross,18,IGT / CROSS,true
236,Olpad,Local,24,Olpad,true
237,Pal,Local,9,Adajan,true
238,Siliguri,Cross,18,IGT / CROSS,true
239,Pal Road,Local,9,Adajan,true
240,Malda,Cross,18,IGT / CROSS,true
241,Calcutta,Cross,18,IGT / CROSS,true
242,Palanpore,Local,9,Adajan,true
243,Hugli,Cross,18,IGT / CROSS,true
