--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Delivery  |ShPt  |SLoc|Dv|Sold-To Pt|Name of sold-to party |Ship-To|Name of the ship-to party|Ref. Doc. |DlvTy|ItCa|Item|Material  |Description                             |Delivery qty|     Volume| Net weight| Total Wght|Batch     |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN |  20|5948787   |DN PROMISE ENAMEL CLASSIC WHITE 10L     |          0 |         0 |         0 |         0 |          |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN |  30|IN34220071|DN SB CEMENT PRIMER 4L                  |          0 |         0 |         0 |         0 |          |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN |  40|5880415   |DN WS  Protect Dustproof 90 base 1LTR   |          0 |         0 |         0 |         0 |          |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN | 001|IN29320271|DN PROMISE ENML WHITE 4L                |          8 |        32 |    32.960 |    35.768 |C20260801 |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN | 002|5948787   |DN PROMISE ENAMEL CLASSIC WHITE 10L     |          2 |        20 |    20.600 |    23.200 |C20260801 |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN | 003|IN34220071|DN SB CEMENT PRIMER 4L                  |          4 |        16 |        20 |    21.404 |C20260601 |
|  9109179964|IN53  |2000|70|3493291   |EKLAVYA COLOR WORLD   |3493291|EKLAVYA COLOR WORLD      |1046789087|LF   |TAN | 004|5880415   |DN WS  Protect Dustproof 90 base 1LTR   |          9 |         9 |    11.790 |    12.681 |T20260401 |
|  9109179965|IN53  |2000|70|102482    |Vimal Plywood & Rang  |102482 |Vimal Plywood & Rang Bha |1046789091|LF   |TAN |  10|IN29320271|DN PROMISE ENML WHITE 4L                |          0 |         0 |         0 |         0 |          |
|  9109179965|IN53  |2000|70|102482    |Vimal Plywood & Rang  |102482 |Vimal Plywood & Rang Bha |1046789091|LF   |TAN | 001|IN29320271|DN PROMISE ENML WHITE 4L                |          1 |         4 |     4.120 |     4.471 |C20260801 |
|  9109179966|IN53  |2000|70|3447131   |PAYAL COLOUR WORLD    |3447131|PAYAL COLOUR WORLD       |1046789104|LF   |TAN |  10|IN43100068|PS Creation Sandtex HS 30 Kg            |          0 |         0 |         0 |         0 |          |
