menuId,family,subProduct,menuBaseColour,displayName,proposedStockProduct,proposedBaseColour,baseColourChanged,packsUnlocked,packList,sampleMaterials,confidence,reviewReason
2050,PROTECT,PROTECT,YELLOW OXIDE,Dulux WS Protect,WS PROTECT,YELLOW OXIDE,N,3,1|LT;4|LT;10|LT,IN36309672;IN36309671;IN36309682,REVIEW,"4 products carry base ""YELLOW OXIDE""; name-ranked: WS PROTECT[12], WS MAX[1] (+2 with no name match)"
2051,PROTECT,PROTECT,PO RED,Dulux WS Protect,WS PROTECT,PO RED,N,2,1|LT;4|LT,5819257;5819358,REVIEW,"4 products carry base ""PO RED""; name-ranked: WS PROTECT[12] (+3 with no name match)"
2052,PROTECT,PROTECT,ELECTRIC BLUE PLUS,Dulux WS Protect,WS PROTECT,ELECTRIC BLUE PLUS,N,2,1|LT;4|LT,5819365;5819366,HIGH,
2053,PROTECT,PROTECT,SIGNAL RED,Dulux WS Protect,WS PROTECT,SIGNAL RED,N,2,1|LT;4|LT,5819369;5819370,REVIEW,"3 products carry base ""SIGNAL RED""; name-ranked: WS PROTECT[12] (+2 with no name match)"
2054,PROTECT,PROTECT,RED OXIDE,Dulux WS Protect,WS PROTECT,RED OXIDE,N,2,1|LT;4|LT,IN36309723;IN36309771,REVIEW,"3 products carry base ""RED OXIDE""; name-ranked: WS PROTECT[12], WS MAX[1] (+1 with no name match)"
2055,PROTECT,PROTECT,TERACOTTA,Dulux WS Protect,WS PROTECT,TERACOTTA,N,2,1|LT;4|LT,5819373;5819374,REVIEW,"2 products carry base ""TERACOTTA""; name-ranked: WS PROTECT[12] (+1 with no name match)"
2056,PROTECT,PROTECT DUSTPROOF,ROX,Dulux WS Protect Dustproof,WS PROTECT,ROX,N,2,0.9|L;3.6|L,IN36209772;IN36409771,REVIEW,"2 products carry base ""ROX""; name-ranked: WS PROTECT[12], WS MAX[1]"
2057,PROTECT,PROTECT,SUNRISE,Dulux WS Protect,WS PROTECT,SUNRISE,N,2,1|LT;4|LT,5819361;5819362,HIGH,
2058,RAINPROOF,RAINPROOF,BRILLIANT WHITE,Dulux WS Rainproof,WS PROTECT RAINPROOF,BRILLIANT WHITE,N,4,10|LT;1|LT;4|LT;20|L,5834785;5834825;5834784,REVIEW,"35 products carry base ""BRILLIANT WHITE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1] (+31 with no name match)"
2059,RAINPROOF,RAINPROOF,90 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,90 BASE,N,4,1|L;4|L;10|L;20|L,5948364;5948365;5948366,REVIEW,"26 products carry base ""90 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1] (+22 with no name match)"
2060,RAINPROOF,RAINPROOF,92 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,92 BASE,N,4,10|LT;1|L;4|L;20|L,5834803;5948378;5948379,REVIEW,"26 products carry base ""92 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+21 with no name match)"
2061,RAINPROOF,RAINPROOF,93 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,93 BASE,N,4,4|LT;10|LT;20|LT;0.925|L,5834822;5834823;5834824,REVIEW,"22 products carry base ""93 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1] (+18 with no name match)"
2062,RAINPROOF,RAINPROOF,94 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,94 BASE,N,4,1|LT;4|LT;10|LT;20|LT,5834805;5834806;5834807,REVIEW,"24 products carry base ""94 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+19 with no name match)"
2063,RAINPROOF,RAINPROOF,95 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,95 BASE,N,4,1|LT;4|LT;10|LT;20|LT,5834829;5834810;5834811,REVIEW,"12 products carry base ""95 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+7 with no name match)"
2064,RAINPROOF,RAINPROOF,96 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,96 BASE,N,4,1|LT;4|LT;10|LT;20|LT,5834813;5834814;5834815,REVIEW,"13 products carry base ""96 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1] (+9 with no name match)"
2065,RAINPROOF,RAINPROOF,97 BASE,Dulux WS Rainproof,WS PROTECT RAINPROOF,97 BASE,N,4,1|LT;4|LT;10|LT;20|LT,5834817;5834818;5834819,REVIEW,"13 products carry base ""97 BASE""; name-ranked: WS PROTECT RAINPROOF[12], WS MAX[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1] (+9 with no name match)"
2249,STAINER,PU STAINER,BRILLIANT WHITE,PU Stainer (GVA),GVA,BRILLIANT WHITE,N,1,1|LT,5827811,REVIEW,"35 products carry base ""BRILLIANT WHITE""; name-ranked: GVA[10] (+34 with no name match)"
2252,STAINER,PU STAINER,ORGANIC RED VIOLET,PU Stainer (GVA),GVA,ORGANIC RED VIOLET,N,1,1|LT,5827814,HIGH,
2255,STAINER,PU STAINER,YELLOW OXIDE,PU Stainer (GVA),GVA,YELLOW OXIDE,N,1,1|LT,5827806,REVIEW,"4 products carry base ""YELLOW OXIDE""; name-ranked: GVA[10], UNIVERSAL STAINER[1] (+2 with no name match)"
2256,STAINER,PU STAINER,GREEN,PU Stainer (GVA),GVA,GREEN,N,1,1|LT,5827812,REVIEW,"2 products carry base ""GREEN""; name-ranked: GVA[10] (+1 with no name match)"
2257,STAINER,PU STAINER,ORGANIC VIOLET,PU Stainer (GVA),GVA,ORGANIC VIOLET,N,1,1|LT,5827808,HIGH,
2260,STAINER,MACHINE TINTER,FFR,Machine Tinter (Dealer),MACHINE STAINER,FFR,N,1,1|LT,IN68010772,HIGH,
2261,STAINER,MACHINE TINTER,MAG,Machine Tinter (Dealer),MACHINE STAINER,MAG,N,1,1|LT,IN68010672,HIGH,
2264,STAINER,PU STAINER,BLUE,PU Stainer (GVA),GVA,BLUE,N,1,1|LT,5827804,HIGH,
2262,STAINER,ACOTONE TINTER,NO1,Acotone Tinter,ACOTONE,NO1,N,1,1|LT,5599499,HIGH,
2263,STAINER,ACOTONE TINTER,XY1,Acotone Tinter,ACOTONE,XY1,N,1,1|LT,5599503,HIGH,
2266,STAINER,ACOTONE TINTER,NO2,Acotone Tinter,ACOTONE,NO2,N,1,1|LT,5599500,HIGH,
2267,STAINER,MACHINE TINTER,OXR,Machine Tinter (Dealer),MACHINE STAINER,OXR,N,1,1|LT,IN68010972,HIGH,
2269,STAINER,ACOTONE TINTER,GR1,Acotone Tinter,ACOTONE,GR1,N,1,1|LT,5599511,HIGH,
2270,STAINER,HP COLORANT,COLORANT,HP Colorant,HP COLORANT,,N,0,,,REVIEW,"no exact base match for ""COLORANT""; name→HP COLORANT; product has bases [GREEN/YELLOW]"
2271,STAINER,MACHINE TINTER,LFY,Machine Tinter (Dealer),MACHINE STAINER,LFY,N,1,1|LT,IN68010272,HIGH,
2274,STAINER,ACOTONE TINTER,BU1,Acotone Tinter,ACOTONE,BU1,N,1,1|LT,5599512,HIGH,
2276,STAINER,ACOTONE TINTER,RE1,Acotone Tinter,ACOTONE,RE1,N,1,1|LT,5599505,HIGH,
2275,STAINER,ACOTONE TINTER,OR1,Acotone Tinter,ACOTONE,OR1,N,1,1|LT,5599510,HIGH,
2278,STAINER,ACOTONE TINTER,BU2,Acotone Tinter,ACOTONE,BU2,N,1,1|LT,5599513,HIGH,
2279,STAINER,ACOTONE TINTER,RE2,Acotone Tinter,ACOTONE,RE2,N,1,1|LT,5599506,HIGH,
2281,STAINER,MACHINE TINTER,WHITE,Machine Tinter (Dealer),MACHINE STAINER,WHITE,N,1,1|LT,IN68010572,REVIEW,"2 products carry base ""WHITE""; name-ranked: MACHINE STAINER[1] (+1 with no name match)"
2283,STAINER,ACOTONE TINTER,YE1,Acotone Tinter,ACOTONE,YE1,N,1,1|LT,5599501,HIGH,
2284,STAINER,ACOTONE TINTER,YE2,Acotone Tinter,ACOTONE,YE2,N,1,1|LT,5599502,HIGH,
2285,STAINER,ACOTONE TINTER,XR1,Acotone Tinter,ACOTONE,XR1,N,1,1|LT,5599507,HIGH,
2289,STAINER,PU STAINER,ORGANIC LEMON YELLOW,PU Stainer (GVA),GVA,ORGANIC LEMON YELLOW,N,1,1|LT,5827810,HIGH,
2291,STAINER,ACOTONE TINTER,WH1,Acotone Tinter,ACOTONE,WH1,N,1,1|LT,5599498,HIGH,
2293,STAINER,PU STAINER,FAST RED,PU Stainer (GVA),GVA,FAST RED,N,1,1|LT,5827813,REVIEW,"2 products carry base ""FAST RED""; name-ranked: GVA[10], UNIVERSAL STAINER[1]"
2294,STAINER,PU STAINER,RED OXIDE,PU Stainer (GVA),GVA,RED OXIDE,N,1,1|LT,5827803,REVIEW,"3 products carry base ""RED OXIDE""; name-ranked: GVA[10] (+2 with no name match)"
2295,STAINER,MACHINE TINTER,TBL,Machine Tinter (Dealer),MACHINE STAINER,TBL,N,1,1|LT,IN68010472,HIGH,
2296,STAINER,PU STAINER,ORGANIC ORANGE,PU Stainer (GVA),GVA,ORGANIC ORANGE,N,1,1|LT,5827807,HIGH,
2301,STAINER,ACOTONE TINTER,MA1,Acotone Tinter,ACOTONE,MA1,N,1,1|LT,5599509,HIGH,
2302,STAINER,MACHINE TINTER,GRN,Machine Tinter (Dealer),MACHINE STAINER,GRN,N,1,1|LT,IN68010372,HIGH,
2303,STAINER,PU STAINER,ORGANIC MIDDLE YELLOW,PU Stainer (GVA),GVA,ORGANIC MIDDLE YELLOW,N,1,1|LT,5827809,HIGH,
2304,STAINER,PU STAINER,BLACK,PU Stainer (GVA),GVA,BLACK,N,1,1|LT,5827805,REVIEW,"11 products carry base ""BLACK""; name-ranked: GVA[10], MACHINE STAINER[1], UNIVERSAL STAINER[1] (+8 with no name match)"
2305,STAINER,MACHINE TINTER,YOX,Machine Tinter (Dealer),MACHINE STAINER,YOX,N,1,1|LT,IN68010172,HIGH,
2306,STAINER,MACHINE TINTER,BLACK,Machine Tinter (Dealer),MACHINE STAINER,BLACK,N,1,1|LT,IN68010872,REVIEW,"11 products carry base ""BLACK""; name-ranked: MACHINE STAINER[1] (+10 with no name match)"
