liveKey,currentFamily,currentSubProduct,currentUiGroup,baseColour,displayName,proposedFamily,proposedUiGroup,proposedSubProduct,matchConfidence,note
PROMISE INTERIOR|||PROMISE SHEEN INTERIOR|||METAL BASE,PROMISE INTERIOR,PROMISE SHEEN INTERIOR,,METAL BASE,Promise Sheen Interior,PROMISE INTERIOR,,PROMISE SHEEN INTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE INTERIOR|||PROMISE SMARTCHOICE INT|||BRILLIANT WHITE,PROMISE INTERIOR,PROMISE SMARTCHOICE INT,,BRILLIANT WHITE,Promise Smartchoice Int,PROMISE INTERIOR,,PROMISE SMARTCHOICE INT,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE INTERIOR|||PROMISE SMARTCHOICE INT PRIMER|||,PROMISE INTERIOR,PROMISE SMARTCHOICE INT PRIMER,,,Promise Smartchoice Int Primer,PROMISE INTERIOR,,PROMISE SMARTCHOICE INT PRIMER,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE INTERIOR|||PROMISE SMARTCHOICE ACRYLIC DISTEMPER|||,PROMISE INTERIOR,PROMISE SMARTCHOICE ACRYLIC DISTEMPER,,,Promise Smartchoice Acrylic Distemper,PROMISE INTERIOR,,PROMISE SMARTCHOICE ACRYLIC DISTEMPER,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE INTERIOR|||PROMISE FREEDOM 2IN1 PRIMER|||,PROMISE INTERIOR,PROMISE FREEDOM 2IN1 PRIMER,,,Promise Freedom 2in1 Primer,PROMISE INTERIOR,,PROMISE FREEDOM 2IN1 PRIMER,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||BRILLIANT WHITE,PROMISE EXTERIOR,PROMISE EXTERIOR,,BRILLIANT WHITE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||90 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,90 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||92 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,92 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||93 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,93 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||94 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,94 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||95 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,95 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||96 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,96 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE EXTERIOR|||98 BASE,PROMISE EXTERIOR,PROMISE EXTERIOR,,98 BASE,Promise Exterior,PROMISE EXTERIOR,,PROMISE EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SHEEN EXTERIOR|||BRILLIANT WHITE,PROMISE EXTERIOR,PROMISE SHEEN EXTERIOR,,BRILLIANT WHITE,Promise Sheen Exterior,PROMISE EXTERIOR,,PROMISE SHEEN EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SHEEN EXTERIOR|||90 BASE,PROMISE EXTERIOR,PROMISE SHEEN EXTERIOR,,90 BASE,Promise Sheen Exterior,PROMISE EXTERIOR,,PROMISE SHEEN EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SHEEN EXTERIOR|||92 BASE,PROMISE EXTERIOR,PROMISE SHEEN EXTERIOR,,92 BASE,Promise Sheen Exterior,PROMISE EXTERIOR,,PROMISE SHEEN EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SHEEN EXTERIOR|||93 BASE,PROMISE EXTERIOR,PROMISE SHEEN EXTERIOR,,93 BASE,Promise Sheen Exterior,PROMISE EXTERIOR,,PROMISE SHEEN EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SHEEN EXTERIOR|||94 BASE,PROMISE EXTERIOR,PROMISE SHEEN EXTERIOR,,94 BASE,Promise Sheen Exterior,PROMISE EXTERIOR,,PROMISE SHEEN EXTERIOR,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SMARTCHOICE EXT|||BRILLIANT WHITE,PROMISE EXTERIOR,PROMISE SMARTCHOICE EXT,,BRILLIANT WHITE,Promise Smartchoice Ext,PROMISE EXTERIOR,,PROMISE SMARTCHOICE EXT,HIGH,[family+subProduct+baseColour] no grouping change
PROMISE EXTERIOR|||PROMISE SMARTCHOICE EXT PRIMER|||,PROMISE EXTERIOR,PROMISE SMARTCHOICE EXT PRIMER,,,Promise Smartchoice Ext Primer,PROMISE EXTERIOR,,PROMISE SMARTCHOICE EXT PRIMER,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||BRILLIANT WHITE,FLOOR PLUS,FLOOR PLUS,,BRILLIANT WHITE,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||93 BASE,FLOOR PLUS,FLOOR PLUS,,93 BASE,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||GUN GREY,FLOOR PLUS,FLOOR PLUS,,GUN GREY,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||PEACOCK BLUE,FLOOR PLUS,FLOOR PLUS,,PEACOCK BLUE,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||FOREST GREEN,FLOOR PLUS,FLOOR PLUS,,FOREST GREEN,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||PO RED,FLOOR PLUS,FLOOR PLUS,,PO RED,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||WHITE,FLOOR PLUS,FLOOR PLUS,,WHITE,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||PAVER GREY,FLOOR PLUS,FLOOR PLUS,,PAVER GREY,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||SIGNAL RED,FLOOR PLUS,FLOOR PLUS,,SIGNAL RED,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||GOLDEN YELLOW,FLOOR PLUS,FLOOR PLUS,,GOLDEN YELLOW,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||SIGNAL RED PLUS,FLOOR PLUS,FLOOR PLUS,,SIGNAL RED PLUS,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||TERACOTTA,FLOOR PLUS,FLOOR PLUS,,TERACOTTA,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
FLOOR PLUS|||FLOOR PLUS|||BLACK,FLOOR PLUS,FLOOR PLUS,,BLACK,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[family+subProduct+baseColour] no grouping change
PRIMER|||WOOD PRIMER|||BRILLIANT WHITE,PRIMER,WOOD PRIMER,,BRILLIANT WHITE,Wood Primer,PRIMER,WOOD,WOOD,HIGH,[doc/backup] PRIMER WOOD PRIMER → uiGroup WOOD
PRIMER|||RED OXIDE METAL PRIMER|||,PRIMER,RED OXIDE METAL PRIMER,,,Red Oxide Metal Primer,PRIMER,METAL,METAL,HIGH,[doc/backup] PRIMER RED OXIDE METAL PRIMER → uiGroup METAL
PRIMER|||ZINC YELLOW METAL PRIMER|||,PRIMER,ZINC YELLOW METAL PRIMER,,,Zinc Yellow Metal Primer,PRIMER,METAL,METAL,HIGH,[doc/backup] PRIMER ZINC YELLOW METAL PRIMER → uiGroup METAL
PRIMER|||WOOD PRIMER|||PINK,PRIMER,WOOD PRIMER,,PINK,Wood Primer,PRIMER,WOOD,WOOD,HIGH,[doc/backup] PRIMER WOOD PRIMER → uiGroup WOOD
PRIMER|||CEMENT PRIMER WB|||,PRIMER,CEMENT PRIMER WB,,,Cement Primer WB,PRIMER,CEMENT,CEMENT,HIGH,[doc/backup] PRIMER CEMENT PRIMER WB → uiGroup CEMENT
PRIMER|||CEMENT PRIMER SB|||,PRIMER,CEMENT PRIMER SB,,,Cement Primer SB,PRIMER,CEMENT,CEMENT,HIGH,[doc/backup] PRIMER CEMENT PRIMER SB → uiGroup CEMENT
PRIMER|||INTERIOR ACRYLIC PRIMER|||,PRIMER,INTERIOR ACRYLIC PRIMER,,,Interior Acrylic Primer,PRIMER,ACRYLIC,ACRYLIC,HIGH,[doc/backup] PRIMER INTERIOR ACRYLIC PRIMER → uiGroup ACRYLIC
PRIMER|||EXTERIOR ACRYLIC PRIMER|||,PRIMER,EXTERIOR ACRYLIC PRIMER,,,Exterior Acrylic Primer,PRIMER,ACRYLIC,ACRYLIC,HIGH,[doc/backup] PRIMER EXTERIOR ACRYLIC PRIMER → uiGroup ACRYLIC
PRIMER|||ALKALI BLOC PRIMER|||,PRIMER,ALKALI BLOC PRIMER,,,Alkali Bloc Primer,PRIMER,ALKALI BLOC,ALKALI BLOC,HIGH,[doc/backup] PRIMER ALKALI BLOC PRIMER → uiGroup ALKALI BLOC
PRIMER|||QUICK DRYING PRIMER|||,PRIMER,QUICK DRYING PRIMER,,,Quick Drying Primer,PRIMER,METAL,METAL,HIGH,[doc/backup] PRIMER QUICK DRYING PRIMER → uiGroup METAL
PRIMER|||EPOXY PRIMER|||,PRIMER,EPOXY PRIMER,,,Epoxy Primer (Sadolin),PRIMER,METAL,METAL,HIGH,[doc/backup] PRIMER EPOXY PRIMER → uiGroup METAL
PRIMER|||2IN1 INTERIOR-EXTERIOR PRIMER|||,PRIMER,2IN1 INTERIOR-EXTERIOR PRIMER,,,2in1 Interior-exterior Primer,PRIMER,PROMISE,PROMISE,REVIEW,[inferred] 2IN1 INT-EXT PRIMER → PROMISE (backup PROMISE 2IN1 PRIMER)
DISTEMPER|||MAGIK|||BRILLIANT WHITE,DISTEMPER,MAGIK,,BRILLIANT WHITE,Magik (Distemper),DISTEMPER,,MAGIK,HIGH,[family+subProduct+baseColour] no grouping change
DISTEMPER|||MAGIK|||90 BASE,DISTEMPER,MAGIK,,90 BASE,Magik (Distemper),DISTEMPER,,MAGIK,HIGH,[family+subProduct+baseColour] no grouping change
DISTEMPER|||ACRYLIC DISTEMPER|||INTERIOR DISTEMPER,DISTEMPER,ACRYLIC DISTEMPER,,INTERIOR DISTEMPER,Acrylic Distemper,DISTEMPER,,ACRYLIC DISTEMPER,HIGH,[family+subProduct+baseColour] no grouping change
PRIMER|||PROMISE PRIMER|||,PRIMER,PROMISE PRIMER,,,Promise Primer,PRIMER,PROMISE,PROMISE,HIGH,[doc/backup] PRIMER PROMISE PRIMER → uiGroup PROMISE
DISTEMPER|||ACRYLIC DISTEMPER|||DUWEL ACRYLIC DISTEMPER,DISTEMPER,ACRYLIC DISTEMPER,,DUWEL ACRYLIC DISTEMPER,Acrylic Distemper,DISTEMPER,,ACRYLIC DISTEMPER,HIGH,[family+subProduct+baseColour] no grouping change
PUTTY|||WATERPROOF PUTTY|||,PUTTY,WATERPROOF PUTTY,,,Waterproof Putty (Aquatech),PUTTY,,WATERPROOF PUTTY,HIGH,[family+subProduct+baseColour] no grouping change
PUTTY|||POLYPUTTY|||DUWEL POLYPUTTY,PUTTY,POLYPUTTY,,DUWEL POLYPUTTY,PolyPutty,PUTTY,,POLYPUTTY,HIGH,[family+subProduct+baseColour] no grouping change
PUTTY|||ACRYLIC PUTTY|||ACRYLIC PUTTY,PUTTY,ACRYLIC PUTTY,,ACRYLIC PUTTY,Acrylic Putty,PUTTY,,ACRYLIC PUTTY,HIGH,[family+subProduct+baseColour] no grouping change
AQUATECH|||FLOOR PLUS|||BRILLIANT WHITE,AQUATECH,FLOOR PLUS,,BRILLIANT WHITE,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[doc] FLOOR PLUS extracted from AQUATECH
AQUATECH|||DAMP PROTECT 2IN1|||,AQUATECH,DAMP PROTECT 2IN1,,,Damp Protect 2in1,AQUATECH,TOPCOAT,TOPCOAT,HIGH,[doc/backup] AQUATECH DAMP PROTECT 2IN1 → uiGroup TOPCOAT
AQUATECH|||INTERIOR WBC|||,AQUATECH,INTERIOR WBC,,,Interior Wbc,AQUATECH,BASECOAT,BASECOAT,REVIEW,[inferred] INTERIOR WBC → BASECOAT (backup product INTERIOR BASECOAT; name differs)
AQUATECH|||LW PLUS|||,AQUATECH,LW PLUS,,,Lw Plus,AQUATECH,ADDITIVES,ADDITIVES,HIGH,[doc/backup] AQUATECH LW PLUS → uiGroup ADDITIVES
AQUATECH|||PRETREATMENT COAT|||,AQUATECH,PRETREATMENT COAT,,,Pretreatment Coat,AQUATECH,PREP,PREP,HIGH,[doc/backup] AQUATECH PRETREATMENT COAT → uiGroup PREP
AQUATECH|||PU COAT|||,AQUATECH,PU COAT,,,PU Coat,AQUATECH,TOPCOAT,TOPCOAT,HIGH,[doc/backup] AQUATECH PU COAT → uiGroup TOPCOAT
AQUATECH|||ROOF COAT|||BRILLIANT WHITE,AQUATECH,ROOF COAT,,BRILLIANT WHITE,Roof Coat,AQUATECH,TOPCOAT,TOPCOAT,HIGH,"[doc/backup] ROOF COAT fold → product=ROOF COAT WHITE, baseColour cleared, uiGroup=TOPCOAT"
AQUATECH|||RP LATEX|||,AQUATECH,RP LATEX,,,Rp Latex,AQUATECH,ADDITIVES,ADDITIVES,HIGH,[doc/backup] AQUATECH RP LATEX → uiGroup ADDITIVES
AQUATECH|||TG COTTON WOOL|||,AQUATECH,TG COTTON WOOL,,,Tg Cotton Wool,AQUATECH,ADDITIVES,ADDITIVES,HIGH,[doc/backup] AQUATECH TG COTTON WOOL → uiGroup ADDITIVES
AQUATECH|||WATERBLOCK 2K|||,AQUATECH,WATERBLOCK 2K,,,Waterblock 2k,AQUATECH,TOPCOAT,TOPCOAT,HIGH,[doc/backup] AQUATECH WATERBLOCK 2K → uiGroup TOPCOAT
AQUATECH|||WRP|||,AQUATECH,WRP,,,Wrp,AQUATECH,ADDITIVES,ADDITIVES,HIGH,[doc/backup] AQUATECH WRP → uiGroup ADDITIVES
AQUATECH|||FLOOR PLUS|||93 BASE,AQUATECH,FLOOR PLUS,,93 BASE,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[doc] FLOOR PLUS extracted from AQUATECH
STAINER|||PU STAINER|||BRILLIANT WHITE,STAINER,PU STAINER,,BRILLIANT WHITE,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
STAINER|||UNIVERSAL STAINER|||FAST GREEN,STAINER,UNIVERSAL STAINER,,FAST GREEN,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||UNIVERSAL STAINER|||YELLOW OXIDE,STAINER,UNIVERSAL STAINER,,YELLOW OXIDE,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||PU STAINER|||ORGANIC RED VIOLET,STAINER,PU STAINER,,ORGANIC RED VIOLET,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
AQUATECH|||FLOOR PLUS|||PO RED,AQUATECH,FLOOR PLUS,,PO RED,Floor Plus,FLOOR PLUS,,FLOOR PLUS,HIGH,[doc] FLOOR PLUS extracted from AQUATECH
STAINER|||UNIVERSAL STAINER|||FAST ORANGE,STAINER,UNIVERSAL STAINER,,FAST ORANGE,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||PU STAINER|||YELLOW OXIDE,STAINER,PU STAINER,,YELLOW OXIDE,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
STAINER|||PU STAINER|||GREEN,STAINER,PU STAINER,,GREEN,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
STAINER|||PU STAINER|||ORGANIC VIOLET,STAINER,PU STAINER,,ORGANIC VIOLET,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
AQUATECH|||CRACKFILLER|||10MM,AQUATECH,CRACKFILLER,,10MM,Crackfiller,AQUATECH,PREP,PREP,HIGH,[doc/backup] AQUATECH CRACKFILLER → uiGroup PREP
AQUATECH|||ROOF COAT|||GREY,AQUATECH,ROOF COAT,,GREY,Roof Coat,AQUATECH,TOPCOAT,TOPCOAT,HIGH,"[doc/backup] ROOF COAT fold → product=ROOF COAT GREY, baseColour cleared, uiGroup=TOPCOAT"
STAINER|||MACHINE TINTER|||FFR,STAINER,MACHINE TINTER,,FFR,Machine Tinter (Dealer),STAINER,MACHINE STAINER,MACHINE STAINER,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct MACHINE TINTER→MACHINE STAINER, uiGroup ∅→MACHINE STAINER"
STAINER|||MACHINE TINTER|||MAG,STAINER,MACHINE TINTER,,MAG,Machine Tinter (Dealer),STAINER,MACHINE STAINER,MACHINE STAINER,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct MACHINE TINTER→MACHINE STAINER, uiGroup ∅→MACHINE STAINER"
STAINER|||ACOTONE TINTER|||NO1,STAINER,ACOTONE TINTER,,NO1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||ACOTONE TINTER|||XY1,STAINER,ACOTONE TINTER,,XY1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||PU STAINER|||BLUE,STAINER,PU STAINER,,BLUE,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
AQUATECH|||CRACKFILLER|||5MM,AQUATECH,CRACKFILLER,,5MM,Crackfiller,AQUATECH,PREP,PREP,HIGH,[doc/backup] AQUATECH CRACKFILLER → uiGroup PREP
STAINER|||ACOTONE TINTER|||NO2,STAINER,ACOTONE TINTER,,NO2,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||MACHINE TINTER|||OXR,STAINER,MACHINE TINTER,,OXR,Machine Tinter (Dealer),STAINER,MACHINE STAINER,MACHINE STAINER,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct MACHINE TINTER→MACHINE STAINER, uiGroup ∅→MACHINE STAINER"
STAINER|||UNIVERSAL STAINER|||FAST YELLOW,STAINER,UNIVERSAL STAINER,,FAST YELLOW,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||ACOTONE TINTER|||GR1,STAINER,ACOTONE TINTER,,GR1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||HP COLORANT|||COLORANT,STAINER,HP COLORANT,,COLORANT,HP Colorant,STAINER,HP,HP,REVIEW,"[doc/backup] STAINER HP → uiGroup HP; backup split into 3 colour rows (RED/YELLOW/GREEN) — live is 1 collapsed COLORANT row, consider splitting"
STAINER|||MACHINE TINTER|||LFY,STAINER,MACHINE TINTER,,LFY,Machine Tinter (Dealer),STAINER,MACHINE STAINER,MACHINE STAINER,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct MACHINE TINTER→MACHINE STAINER, uiGroup ∅→MACHINE STAINER"
AQUATECH|||FLEXIBLE COAT|||ADVANCE,AQUATECH,FLEXIBLE COAT,,ADVANCE,Flexible Coat,AQUATECH,BASECOAT,BASECOAT,HIGH,[doc/backup] AQUATECH FLEXIBLE COAT → uiGroup BASECOAT
AQUATECH|||IBC ADVANCE|||ADVANCE,AQUATECH,IBC ADVANCE,,ADVANCE,Ibc Advance,AQUATECH,BASECOAT,BASECOAT,HIGH,[doc/backup] AQUATECH IBC ADVANCE → uiGroup BASECOAT
STAINER|||ACOTONE TINTER|||BU1,STAINER,ACOTONE TINTER,,BU1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||ACOTONE TINTER|||OR1,STAINER,ACOTONE TINTER,,OR1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||ACOTONE TINTER|||RE1,STAINER,ACOTONE TINTER,,RE1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||UNIVERSAL STAINER|||FAST BLUE,STAINER,UNIVERSAL STAINER,,FAST BLUE,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||ACOTONE TINTER|||BU2,STAINER,ACOTONE TINTER,,BU2,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||ACOTONE TINTER|||RE2,STAINER,ACOTONE TINTER,,RE2,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||UNIVERSAL STAINER|||FAST VIOLET,STAINER,UNIVERSAL STAINER,,FAST VIOLET,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||MACHINE TINTER|||WHITE,STAINER,MACHINE TINTER,,WHITE,Machine Tinter (Dealer),STAINER,MACHINE STAINER,MACHINE STAINER,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct MACHINE TINTER→MACHINE STAINER, uiGroup ∅→MACHINE STAINER"
AQUATECH|||FLEXIBLE COAT|||NEO,AQUATECH,FLEXIBLE COAT,,NEO,Flexible Coat,AQUATECH,BASECOAT,BASECOAT,HIGH,[doc/backup] AQUATECH FLEXIBLE COAT → uiGroup BASECOAT
STAINER|||ACOTONE TINTER|||YE1,STAINER,ACOTONE TINTER,,YE1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||ACOTONE TINTER|||YE2,STAINER,ACOTONE TINTER,,YE2,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||ACOTONE TINTER|||XR1,STAINER,ACOTONE TINTER,,XR1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
STAINER|||UNIVERSAL STAINER|||FAST RED,STAINER,UNIVERSAL STAINER,,FAST RED,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
AQUATECH|||CRACKFILLER|||20MM,AQUATECH,CRACKFILLER,,20MM,Crackfiller,AQUATECH,PREP,PREP,HIGH,[doc/backup] AQUATECH CRACKFILLER → uiGroup PREP
AQUATECH|||DAMP PROTECT BASECOAT|||BASECOAT,AQUATECH,DAMP PROTECT BASECOAT,,BASECOAT,Damp Protect Basecoat,AQUATECH,BASECOAT,BASECOAT,REVIEW,[doc directive] → BASECOAT (backup had TOPCOAT — divergence flagged)
STAINER|||PU STAINER|||ORGANIC LEMON YELLOW,STAINER,PU STAINER,,ORGANIC LEMON YELLOW,PU Stainer (GVA),STAINER,GVA / PU,PU,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct PU STAINER→PU, uiGroup ∅→GVA / PU"
STAINER|||UNIVERSAL STAINER|||FASTYELLOWGREEN,STAINER,UNIVERSAL STAINER,,FASTYELLOWGREEN,Universal Stainer,STAINER,UNIVERSAL STAINER,UNIVERSAL STAINER,HIGH,[family+subProduct+baseColour] uiGroup ∅→UNIVERSAL STAINER
STAINER|||ACOTONE TINTER|||WH1,STAINER,ACOTONE TINTER,,WH1,Acotone Tinter,STAINER,ACOTONE,ACOTONE,REVIEW,"matched via displayName+baseColour; [displayName+baseColour] subProduct ACOTONE TINTER→ACOTONE, uiGroup ∅→ACOTONE"
AQUATECH|||ROOF COAT|||TERACOTTA,AQUATECH,ROOF COAT,,TERACOTTA,Roof Coat,AQUATECH,TOPCOAT,TOPCOAT,HIGH,"[doc/backup] ROOF COAT fold → product=ROOF COAT TERACOTTA, baseColour cleared, uiGroup=TOPCOAT"
